Supplier_Name,Supplier_Code,Alloy,Current_LB,New_LB,change
SUPPLIER A51,S080,A404,1.47,1.2,0.27
SUPPLIER A26,S083,A372,1.21,1.31,-0.1
SUPPLIER A21,S071,A359,1.99,1.36,0.63
SUPPLIER A3,S044,A406,1.45,1.31,0.14
SUPPLIER A41,S086,A342,1.6,1.2,0.4
SUPPLIER A72,S009,A372,1.76,1.2,0.56
SUPPLIER A68,S053,A375,1.5,1.34,0.16
SUPPLIER A52,S085,A404,1.36,1.24,0.12
SUPPLIER A37,S021,A330,1.43,1.67,-0.24
SUPPLIER A68,S068,A400,1.43,1.25,0.18
SUPPLIER AA,S072,A360,1.21,1.55,-0.34
SUPPLIER A6,S028,A349,2.37,1.38,0.99
SUPPLIER A7,S088,A101,1.56,1.2,0.36
SUPPLIER A39,S082,A349,1.38,1.2,0.18
SUPPLIER A70,S051,A370,1.44,1.2,0.24
SUPPLIER A49,S002,A412,1.21,1.2,0.01
SUPPLIER A15,S069,A320,1.25,1.22,0.03
SUPPLIER A41,S068,A341,1.51,1.49,0.02
SUPPLIER A48,S019,A345,1.53,1.22,0.31
STRONG ALLOY,S063,A346,1.21,1.37,-0.16
XPZ Supp,S085,A101,1.64,1.45,0.19
SUPPLIER A12,S072,A402,1.27,1.25,0.02
SUPPLIER H,S082,A320,1.47,1.2,0.27
SUPPLIER A43,S052,A362,1.51,1.2,0.31
SUPPLIER A70,S008,A393,1.21,1.49,-0.28
SUPPLIER A59,S074,A376,1.41,1.46,-0.05
SUPPLIER A43,S078,A101,1.44,1.51,-0.07
SUPPLIER A3,S001,A380,1.61,1.25,0.36
SUPPLIER A33,S079,A400,1.21,1.34,-0.13
SUPPLIER A73,S052,A380,1.57,1.2,0.37
SUPPLIER A61,S079,A372,1.5,1.43,0.07
XYZ,S009,A400,1.21,2.22,-1.01
SUPPLIER A22,S064,A374,1.32,1.24,0.08
SUPPLIER A55,S068,A348,1.57,1.41,0.16
SUPPLIER A33,S016,A330,1.51,3.16,-1.65
SUPPLIER A1,S042,A330,1.24,1.45,-0.21
SUPPLIER A39,S053,A402,2.19,1.2,0.99
SUPPLIER A43,S074,A391,2.0,1.63,0.37
SUPPLIER AC,S063,A359,2.5,1.33,1.17
TOP DIE CASTING,S061,A349,1.26,1.2,0.06
SUPPLIER A22,S075,A347,2.33,1.23,1.1
SUPPLIER A29,S053,A320,1.54,1.21,0.33
SUPPLIER A19,S083,A376,2.35,1.39,0.96
XPZ Supp,S070,A330,1.21,1.48,-0.27
SUPPLIER A41,S085,A366,2.09,1.29,0.8
SUPPLIER A36,S010,A407,1.58,1.2,0.38
SUPPLIER A61,S064,A354,1.35,1.2,0.15
SUPPLIER A2,S063,A363,1.95,1.33,0.62
SUPPLIER A73,S080,A386,1.41,1.28,0.13
SUPPLIER A12,S021,A377,1.34,1.35,-0.01
SUPPLIER A66,S055,A350,2.31,1.22,1.09
SUPPLIER A43,S030,A378,1.89,1.21,0.68
SUPPLIER A57,S072,A390,1.46,1.74,-0.28
SUPPLIER A62,S042,A380,1.36,2.38,-1.02
SUPPLIER A72,S054,A354,1.47,1.26,0.21
SUPPLIER A9,S055,A400,1.34,1.2,0.14
SUPPLIER A30,S011,A412,1.56,1.2,0.36
SUPPLIER A21,S047,A400,1.49,1.24,0.25
SUPPLIER A1,S045,A388,1.21,1.46,-0.25
SUPPLIER A59,S088,A344,3.14,1.88,1.26
SUPPLIER A29,S070,A367,1.32,1.26,0.06
SUPPLIER A7,S023,A320,1.35,1.3,0.05
SUPPLIER A5,S030,A343,1.79,1.2,0.59
SUPPLIER A18,S068,A398,1.21,1.3,-0.09
SUPPLIER A12,S028,A401,1.42,1.27,0.15
SUPPLIER A44,S076,A341,1.6,1.2,0.4
SUPPLIER A24,S037,A341,1.21,1.3,-0.09
SUPPLIER A26,S049,A365,1.65,1.32,0.33
ABC Supplier,S052,A395,1.47,1.35,0.12
SUPPLIER A19,S045,A341,1.68,1.3,0.38
SUPPLIER A63,S049,A379,1.92,1.2,0.72
SUPPLIER A60,S079,A363,1.61,1.25,0.36
SUPPLIER A60,S093,A379,1.45,1.48,-0.03
SUPPLIER A54,S066,A371,1.27,1.53,-0.26
SUPPLIER A5,S072,A376,2.15,1.22,0.93
SUPPLIER A43,S074,A347,1.21,1.24,-0.03
SUPPLIER A60,S093,A380,1.26,1.2,0.06
SUPPLIER H,S077,A391,1.33,1.45,-0.12
SUPPLIER A10,S013,A330,1.23,1.76,-0.53
SUPPLIER C,S082,A352,1.55,1.31,0.24
SUPPLIER A44,S051,A320,1.63,1.2,0.43
SUPPLIER G,S082,A101,1.39,1.31,0.08
SUPPLIER A26,S019,A381,1.34,1.31,0.03
SUPPLIER A26,S057,A344,1.4,1.26,0.14
SUPPLIER A63,S087,A407,1.36,1.41,-0.05
SUPPLIER A59,S045,A400,1.53,1.39,0.14
SUPPLIER A17,S068,A388,1.76,1.61,0.15
TOP DIE CASTING,S025,A400,2.74,2.84,-0.1
SUPPLIER A5,S016,A380,1.66,1.2,0.46
SUPPLIER A66,S044,A352,1.47,1.2,0.27
SUPPLIER A59,S037,A348,1.55,1.54,0.01
SUPPLIER A52,S041,A391,1.87,1.2,0.67
SUPPLIER A63,S020,A350,1.78,1.27,0.51
SUPPLIER A26,S082,A400,3.14,1.2,1.94
SUPPLIER A4,S051,A330,1.5,1.58,-0.08
SUPPLIER E,S017,A401,1.58,1.32,0.26
SUPPLIER A61,S087,A415,1.21,1.45,-0.24
SUPPLIER A18,S054,A330,1.22,1.52,-0.3
ABC Supplier,S046,A378,2.58,1.4,1.18
SUPPLIER A17,S047,A344,1.32,1.2,0.12
SUPPLIER A73,S073,A414,1.21,1.2,0.01
SUPPLIER A60,S090,A400,1.21,1.29,-0.08
SUPPLIER A2,S009,A379,1.28,1.2,0.08
SUPPLIER A72,S055,A386,2.19,1.6,0.59
TOP DIE CASTING,S080,A397,1.21,1.62,-0.41
SUPPLIER G,S007,A357,1.5,1.2,0.3
SUPPLIER AC,S088,A375,1.4,1.2,0.2
SUPPLIER A2,S069,A348,1.46,1.2,0.26
SUPPLIER A24,S006,A370,1.21,1.66,-0.45
SUPPLIER A56,S010,A370,1.52,1.2,0.32
SUPPLIER A58,S069,A344,1.21,1.2,0.01
SUPPLIER AC,S035,A390,1.52,1.25,0.27
SUPPLIER A27,S040,A380,1.4,1.2,0.2
SUPPLIER A72,S019,A320,1.55,1.32,0.23
SUPPLIER A38,S056,A409,1.23,1.39,-0.16
SUPPLIER A57,S008,A372,1.3,1.24,0.06
SUPPLIER AD,S077,A378,1.41,1.35,0.06
SUPPLIER B,S012,A408,1.24,1.5,-0.26
SUPPLIER A51,S007,A401,1.21,1.2,0.01
SUPPLIER A39,S069,A380,1.37,1.57,-0.2
SUPPLIER A60,S001,A345,1.34,1.2,0.14
TOP DIE CASTING,S092,A366,1.35,1.28,0.07
SUPPLIER A54,S090,A400,1.21,1.2,0.01
SUPPLIER A41,S049,A415,1.21,1.28,-0.07
SUPPLIER A55,S047,A386,1.59,1.36,0.23
SUPPLIER A37,S001,A365,1.24,1.46,-0.22
SUPPLIER A53,S018,A330,1.68,1.4,0.28
SUPPLIER A33,S022,A404,1.93,1.2,0.73
SUPPLIER A51,S077,A347,1.36,2.88,-1.52
SUPPLIER A58,S028,A378,1.22,1.34,-0.12
SUPPLIER A9,S052,A349,2.23,1.36,0.87
STRONG ALLOY,S022,A320,1.45,3.16,-1.71
SUPPLIER A44,S047,A402,1.41,1.57,-0.16
SUPPLIER A25,S045,A377,1.48,1.3,0.18
SUPPLIER A67,S003,A349,1.74,1.67,0.07
SUPPLIER A65,S090,A400,1.36,1.2,0.16
SUPPLIER A20,S063,A407,2.88,1.75,1.13
SUPPLIER A60,S009,A376,1.23,1.35,-0.12
XPZ Supp,S049,A380,1.36,2.83,-1.47
SUPPLIER A50,S079,A343,1.39,1.39,0.0
SUPPLIER E,S040,A408,1.24,1.42,-0.18
SUPPLIER A63,S084,A372,1.22,1.27,-0.05
SUPPLIER H,S054,B747,1.36,1.41,-0.05
SUPPLIER A3,S030,A409,1.32,1.41,-0.09
SUPPLIER A54,S003,A400,1.67,1.52,0.15
SUPPLIER A65,S056,A393,1.33,1.39,-0.06
SUPPLIER A36,S077,A395,1.46,1.31,0.15
TOP DIE CASTING,S019,A330,1.53,1.2,0.33
SUPPLIER A5,S028,A400,1.86,1.36,0.5
SUPPLIER A37,S002,A391,1.53,2.12,-0.59
SUPPLIER E,S074,A357,1.9,1.34,0.56
SUPPLIER A37,S086,A401,1.32,1.2,0.12
SUPPLIER A72,S016,A402,1.21,1.2,0.01
SUPPLIER A9,S009,A397,1.43,1.31,0.12
SUPPLIER A33,S069,A343,1.36,3.16,-1.8
TOP DIE CASTING,S024,A349,1.28,1.2,0.08
SUPPLIER A28,S026,A396,1.55,1.41,0.14
SUPPLIER A26,S043,A385,1.34,1.68,-0.34
XYZ,S022,A392,2.91,1.33,1.58
SUPPLIER AA,S001,A359,1.78,1.43,0.35
SUPPLIER A2,S028,A414,1.31,1.47,-0.16
SUPPLIER A36,S093,A395,1.25,1.42,-0.17
SUPPLIER A25,S058,A379,1.52,1.3,0.22
SUPPLIER A46,S020,A372,3.14,1.32,1.82
SUPPLIER A72,S090,A402,1.41,1.48,-0.07
SUPPLIER A5,S081,A405,1.47,1.2,0.27
SUPPLIER A15,S081,A377,2.46,1.43,1.03
SUPPLIER A26,S066,A380,1.27,1.4,-0.13
SUPPLIER A12,S086,A363,1.21,1.2,0.01
SUPPLIER A66,S009,A403,1.21,1.2,0.01
SUPPLIER A56,S003,A392,1.28,1.2,0.08
SUPPLIER A4,S037,A407,1.63,1.2,0.43
SUPPLIER A56,S058,A400,1.49,1.34,0.15
SUPPLIER A3,S011,A320,1.21,1.46,-0.25
SUPPLIER A4,S083,A394,1.5,1.2,0.3
SUPPLIER A63,S041,A400,1.36,1.57,-0.21
SUPPLIER A24,S081,A374,1.34,1.2,0.14
SUPPLIER A18,S071,A340,1.32,1.54,-0.22
SUPPLIER A37,S051,A394,1.91,1.42,0.49
SUPPLIER AD,S052,A372,1.99,2.02,-0.03
STRONG ALLOY,S001,A385,1.35,1.52,-0.17
BLUE METAL,S051,A344,1.21,1.34,-0.13
BLUE METAL,S023,A398,1.36,1.31,0.05
STRONG ALLOY,S081,A398,1.5,1.2,0.3
SUPPLIER E,S080,A340,1.63,1.99,-0.36
SUPPLIER H,S056,A400,1.25,1.31,-0.06
SUPPLIER A44,S026,B747,1.27,1.64,-0.37
SUPPLIER A28,S001,B747,1.36,1.2,0.16
SUPPLIER A70,S090,A351,1.54,1.53,0.01
SUPPLIER AA,S018,A370,1.28,1.61,-0.33
SUPPLIER A41,S002,A404,1.47,1.33,0.14
ABC Supplier,S006,A386,1.21,1.75,-0.54
SUPPLIER H,S028,A362,1.21,1.39,-0.18
SUPPLIER A6,S044,A376,1.21,1.51,-0.3
SUPPLIER A32,S024,A342,1.46,1.29,0.17
SUPPLIER A39,S085,A381,1.51,1.2,0.31
SUPPLIER A43,S073,A373,2.04,1.25,0.79
TOP DIE CASTING,S003,A357,1.88,1.2,0.68
TOP DIE CASTING,S025,A345,2.55,1.33,1.22
SUPPLIER A4,S038,A369,1.55,2.64,-1.09
SUPPLIER A72,S017,A378,1.35,1.29,0.06
SUPPLIER A20,S072,A349,3.14,1.45,1.69
SUPPLIER A53,S041,A376,1.45,1.2,0.25
SUPPLIER A53,S011,A359,1.27,1.2,0.07
SUPPLIER A10,S055,A361,1.21,1.31,-0.1
SUPPLIER A6,S078,A372,1.87,1.27,0.6
SUPPLIER A26,S037,A366,2.14,1.47,0.67
SUPPLIER A36,S001,A361,1.55,1.4,0.15
SUPPLIER A3,S071,A341,1.92,2.21,-0.29
SUPPLIER A62,S014,A398,1.42,1.46,-0.04
SUPPLIER A73,S069,A362,1.45,1.47,-0.02
SUPPLIER F,S085,A342,1.26,1.21,0.05
XYZ,S066,A396,2.0,1.34,0.66
SUPPLIER A73,S024,A344,1.28,1.23,0.05
SUPPLIER A25,S054,A367,1.47,1.49,-0.02
SUPPLIER C,S064,A383,2.01,1.57,0.44
STRONG ALLOY,S013,A372,1.33,1.2,0.13
SUPPLIER C,S066,A367,1.8,1.27,0.53
SUPPLIER C,S086,A396,1.36,1.32,0.04
XYZ,S047,A340,1.27,1.21,0.06
SUPPLIER A6,S087,A396,1.33,1.31,0.02
SUPPLIER AA,S030,A374,1.53,1.25,0.28
SUPPLIER A22,S042,A360,1.27,1.39,-0.12
SUPPLIER A56,S050,A320,1.3,1.2,0.1
SUPPLIER A65,S043,A407,1.21,1.32,-0.11
SUPPLIER A60,S083,A390,1.37,1.2,0.17
SUPPLIER A59,S022,A320,1.46,1.2,0.26
SUPPLIER A61,S080,A357,1.23,1.2,0.03
SUPPLIER A68,S058,A412,1.32,1.2,0.12
SUPPLIER A6,S001,A363,1.33,1.2,0.13
SUPPLIER G,S048,A395,1.23,1.2,0.03
BLUE METAL,S030,A366,1.22,1.36,-0.14
SUPPLIER G,S081,A344,1.21,1.49,-0.28
SUPPLIER A61,S075,A388,2.2,1.39,0.81
SUPPLIER A65,S022,A362,1.27,1.61,-0.34
SUPPLIER A17,S074,A369,1.43,1.25,0.18
SUPPLIER A62,S090,A375,1.25,1.47,-0.22
SUPPLIER A63,S041,A390,1.47,2.72,-1.25
SUPPLIER A72,S042,A385,1.49,1.2,0.29
SUPPLIER A41,S042,A352,1.67,1.2,0.47
SUPPLIER A73,S051,A362,1.87,1.2,0.67
SUPPLIER A72,S001,A380,2.4,2.0,0.4
BLUE METAL,S042,A408,1.26,1.33,-0.07
SUPPLIER A12,S025,A404,1.67,1.2,0.47
SUPPLIER A6,S009,A379,1.21,1.88,-0.67
SUPPLIER A7,S006,A351,1.45,1.2,0.25
SUPPLIER A7,S087,A346,1.26,1.8,-0.54
SUPPLIER A66,S055,A357,1.48,1.22,0.26
SUPPLIER A51,S026,A351,3.07,1.28,1.79
SUPPLIER A59,S082,A330,1.73,1.91,-0.18
SUPPLIER A53,S016,A393,1.21,1.2,0.01
SUPPLIER A23,S053,A394,1.57,1.55,0.02
SUPPLIER A54,S010,A383,1.29,1.45,-0.16
SUPPLIER A38,S071,A341,1.67,1.2,0.47
SUPPLIER E,S085,A386,1.38,1.2,0.18
SUPPLIER A43,S064,A401,3.14,1.48,1.66
SUPPLIER AD,S086,A383,1.34,1.28,0.06
SUPPLIER A32,S082,A354,1.55,1.34,0.21
SUPPLIER A60,S016,A372,1.21,1.39,-0.18
STRONG ALLOY,S020,A377,1.29,1.2,0.09
SUPPLIER A48,S093,A366,2.08,1.2,0.88
SUPPLIER A68,S064,A357,1.21,1.34,-0.13
SUPPLIER A10,S028,A393,1.37,1.2,0.17
SUPPLIER A66,S041,A330,1.34,1.31,0.03
SUPPLIER A35,S056,A400,3.04,1.2,1.84
SUPPLIER A33,S058,A341,1.32,1.53,-0.21
SUPPLIER C,S086,A385,3.14,1.22,1.92
ABC Supplier,S083,A398,1.74,1.5,0.24
SUPPLIER A21,S086,A370,1.64,3.16,-1.52
SUPPLIER A68,S072,A320,1.39,1.33,0.06
SUPPLIER A46,S044,A386,3.14,3.16,-0.02
SUPPLIER A26,S093,A363,1.62,1.55,0.07
SUPPLIER A53,S046,A101,1.35,1.84,-0.49
SUPPLIER A9,S006,A366,1.51,1.52,-0.01
SUPPLIER A33,S087,A402,1.98,1.21,0.77
SUPPLIER A62,S006,A340,1.42,1.34,0.08
SUPPLIER A53,S019,A402,1.86,1.2,0.66
SUPPLIER A37,S056,A366,2.15,1.2,0.95
SUPPLIER A6,S077,A360,1.66,1.37,0.29
SUPPLIER A32,S023,A409,1.27,1.27,0.0
SUPPLIER A37,S057,A377,1.53,1.28,0.25
SUPPLIER A36,S023,A366,1.53,1.32,0.21
SUPPLIER A7,S010,A352,2.54,1.2,1.34
SUPPLIER A41,S052,A380,1.45,1.2,0.25
SUPPLIER H,S019,A412,1.23,1.25,-0.02
SUPPLIER A62,S052,A409,1.97,1.37,0.6
SUPPLIER A46,S014,A340,1.44,1.29,0.15
SUPPLIER A58,S081,A409,2.17,1.37,0.8
XPZ Supp,S010,A359,1.58,1.27,0.31
SUPPLIER A28,S078,A341,1.36,1.41,-0.05
SUPPLIER A3,S086,A388,1.27,1.59,-0.32
SUPPLIER A59,S042,A394,1.52,1.2,0.32
TOP DIE CASTING,S051,A340,1.82,1.3,0.52
SUPPLIER A38,S047,A350,2.11,1.22,0.89
SUPPLIER A56,S022,A360,1.58,1.2,0.38
SUPPLIER A7,S028,A374,1.42,1.64,-0.22
TOP DIE CASTING,S083,A405,1.33,1.2,0.13
SUPPLIER AB,S049,A343,2.52,1.31,1.21
ABC Supplier,S010,A408,1.35,1.2,0.15
STRONG ALLOY,S040,A396,1.76,1.73,0.03
SUPPLIER A59,S057,A372,1.37,1.7,-0.33
SUPPLIER AC,S030,A402,1.51,1.27,0.24
SUPPLIER A25,S045,A345,1.37,1.48,-0.11
BLUE METAL,S078,A101,1.21,1.35,-0.14
SUPPLIER A65,S063,A398,1.49,1.35,0.14
SUPPLIER A49,S084,A373,1.57,1.23,0.34
SUPPLIER A4,S054,A357,1.22,1.49,-0.27
SUPPLIER B,S054,A383,1.5,1.22,0.28
SUPPLIER A52,S077,A101,1.66,1.35,0.31
SUPPLIER A48,S064,A330,1.59,1.3,0.29
SUPPLIER A44,S024,A380,1.35,1.25,0.1
SUPPLIER A3,S057,A380,1.47,1.39,0.08
SUPPLIER A5,S086,A320,1.63,1.29,0.34
SUPPLIER A43,S081,B747,1.21,1.47,-0.26
SUPPLIER A62,S023,A407,1.48,1.5,-0.02
SUPPLIER A33,S049,A406,1.21,1.34,-0.13
SUPPLIER A1,S086,A345,1.3,1.26,0.04
SUPPLIER A72,S088,A348,1.21,1.82,-0.61
SUPPLIER A66,S082,A412,1.3,1.2,0.1
SUPPLIER B,S006,A101,1.37,1.63,-0.26
XYZ,S077,A380,1.21,1.43,-0.22
SUPPLIER A62,S066,A372,1.32,2.07,-0.75
SUPPLIER A33,S084,A400,1.27,1.27,0.0
SUPPLIER A8,S020,A369,1.67,1.95,-0.28
SUPPLIER A61,S049,A376,1.26,1.37,-0.11
SUPPLIER A4,S048,A381,1.21,1.31,-0.1
BLUE METAL,S010,A391,1.53,1.34,0.19
TOP DIE CASTING,S081,A395,1.28,1.49,-0.21
SUPPLIER A9,S043,A347,1.29,1.32,-0.03
SUPPLIER A43,S012,A415,2.01,1.43,0.58
SUPPLIER A19,S086,A372,1.32,1.45,-0.13
SUPPLIER A56,S040,A320,1.72,1.29,0.43
SUPPLIER A68,S001,A386,1.51,1.2,0.31
ALOY MASTERS,S010,A378,1.34,1.53,-0.19
SUPPLIER A5,S043,A386,1.85,1.41,0.44
SUPPLIER A62,S069,A376,1.32,1.59,-0.27
STRONG ALLOY,S016,A390,1.53,2.22,-0.69
SUPPLIER AA,S030,A363,1.48,1.22,0.26
SUPPLIER AB,S081,A386,1.22,1.41,-0.19
SUPPLIER A36,S066,A402,1.54,1.2,0.34
SUPPLIER A7,S055,A372,1.62,1.51,0.11
SUPPLIER A58,S057,A412,1.21,1.45,-0.24
SUPPLIER A67,S064,A101,1.48,1.2,0.28
SUPPLIER A67,S086,A320,1.48,1.23,0.25
TOP DIE CASTING,S020,A383,2.43,1.51,0.92
SUPPLIER A61,S069,A349,1.44,1.32,0.12
SUPPLIER A44,S017,A414,1.25,1.39,-0.14
SUPPLIER A41,S013,A320,1.41,1.2,0.21
SUPPLIER A27,S041,A374,2.22,1.2,1.02
SUPPLIER A10,S012,A101,1.23,1.31,-0.08
SUPPLIER A51,S024,A367,1.27,1.28,-0.01
SUPPLIER A35,S063,A370,2.21,1.24,0.97
SUPPLIER A50,S027,A374,1.32,1.41,-0.09
SUPPLIER AC,S066,A396,1.47,1.39,0.08
SUPPLIER E,S072,A398,1.21,1.2,0.01
SUPPLIER A41,S054,A407,1.26,1.25,0.01
SUPPLIER A68,S041,A400,1.23,1.2,0.03
SUPPLIER A59,S019,A379,1.4,1.28,0.12
SUPPLIER A7,S049,A345,1.21,1.31,-0.1
SUPPLIER A33,S006,A348,1.75,1.2,0.55
SUPPLIER A33,S061,A343,1.21,1.81,-0.6
SUPPLIER A67,S093,A375,1.35,1.58,-0.23
SUPPLIER B,S001,A383,1.21,1.44,-0.23
SUPPLIER A15,S058,A388,1.31,1.2,0.11
ALOY MASTERS,S020,A409,1.23,1.36,-0.13
SUPPLIER AB,S001,A344,1.21,1.33,-0.12
ABC Supplier,S025,A350,2.62,1.29,1.33
XYZ,S092,A351,1.21,1.77,-0.56
SUPPLIER C,S042,A414,1.39,1.47,-0.08
SUPPLIER A17,S086,A344,1.71,1.2,0.51
SUPPLIER A1,S093,A412,3.07,3.16,-0.09
TOP DIE CASTING,S002,A390,1.21,2.79,-1.58
SUPPLIER A55,S044,A379,1.5,1.27,0.23
SUPPLIER A19,S051,A373,1.21,1.33,-0.12
SUPPLIER AD,S020,A410,1.59,1.33,0.26
SUPPLIER A56,S013,A368,1.41,1.55,-0.14
SUPPLIER A32,S073,A330,1.38,1.51,-0.13
SUPPLIER A63,S061,A375,1.49,1.48,0.01
SUPPLIER A9,S078,A373,1.21,1.29,-0.08
SUPPLIER A67,S046,A371,1.83,2.92,-1.09
SUPPLIER AA,S006,A366,1.48,1.52,-0.04
XPZ Supp,S068,A400,1.36,1.2,0.16
SUPPLIER AA,S088,A374,1.69,1.36,0.33
SUPPLIER AD,S050,A391,3.13,1.76,1.37
SUPPLIER AD,S047,A363,1.21,1.21,0.0
SUPPLIER A55,S023,A408,1.48,1.2,0.28
SUPPLIER A62,S030,A347,1.39,1.2,0.19
SUPPLIER A61,S010,A369,1.93,1.68,0.25
XYZ,S041,A345,1.38,1.25,0.13
SUPPLIER C,S079,A385,1.58,3.16,-1.58
SUPPLIER A53,S080,A388,3.14,1.2,1.94
SUPPLIER A68,S066,A375,1.21,1.2,0.01
SUPPLIER A62,S071,A362,1.44,1.2,0.24
SUPPLIER A61,S048,A397,1.65,2.01,-0.36
ABC Supplier,S013,A385,1.59,3.16,-1.57
SUPPLIER A63,S028,A394,1.34,1.26,0.08
SUPPLIER A36,S008,A340,1.21,1.3,-0.09
SUPPLIER A2,S019,A367,2.85,1.27,1.58
SUPPLIER A31,S064,A379,1.5,1.47,0.03
SUPPLIER A20,S068,A386,1.28,2.92,-1.64
SUPPLIER A49,S090,A394,1.21,1.45,-0.24
SUPPLIER AC,S073,A377,1.55,1.2,0.35
SUPPLIER A7,S013,A402,1.53,1.29,0.24
SUPPLIER A35,S052,A392,1.4,1.2,0.2
SUPPLIER A43,S085,A386,1.21,1.55,-0.34
SUPPLIER A24,S059,A412,3.14,2.89,0.25
SUPPLIER A44,S052,A101,1.56,1.2,0.36
SUPPLIER A60,S001,A341,1.37,1.2,0.17
SUPPLIER A41,S052,A347,1.24,1.52,-0.28
SUPPLIER A36,S073,A364,1.24,1.34,-0.1
SUPPLIER H,S018,A344,1.35,1.24,0.11
SUPPLIER A67,S093,A378,1.62,1.24,0.38
SUPPLIER C,S057,A346,1.44,1.34,0.1
SUPPLIER A10,S015,A361,2.15,1.27,0.88
XYZ,S001,A375,1.59,1.85,-0.26
SUPPLIER A58,S003,A367,3.14,1.53,1.61
SUPPLIER A10,S012,A330,3.14,1.2,1.94
TOP DIE CASTING,S013,A403,1.38,1.2,0.18
SUPPLIER F,S070,A377,1.28,1.31,-0.03
SUPPLIER A29,S039,A386,1.44,1.4,0.04
SUPPLIER A30,S020,A400,1.4,1.2,0.2
SUPPLIER A37,S075,A330,1.43,1.29,0.14
SUPPLIER A27,S054,A350,1.21,2.84,-1.63
SUPPLIER F,S007,A392,1.29,1.39,-0.1
SUPPLIER A17,S010,A342,1.49,1.24,0.25
SUPPLIER A30,S043,A383,1.59,1.53,0.06
SUPPLIER A19,S086,A388,2.93,1.47,1.46
SUPPLIER F,S021,A412,2.82,1.68,1.14
SUPPLIER A35,S022,A350,3.01,1.28,1.73
SUPPLIER A43,S058,A366,1.21,1.44,-0.23
STRONG ALLOY,S093,A403,1.48,1.2,0.28
SUPPLIER A12,S053,A380,1.21,1.2,0.01
SUPPLIER A9,S043,A378,1.27,1.2,0.07
SUPPLIER A6,S058,A345,1.51,1.25,0.26
SUPPLIER H,S010,A374,1.75,1.97,-0.22
TOP DIE CASTING,S024,A386,1.36,1.58,-0.22
SUPPLIER A41,S073,A351,1.21,1.2,0.01
SUPPLIER A33,S039,A400,1.51,1.32,0.19
SUPPLIER AA,S083,A365,1.21,1.68,-0.47
SUPPLIER A34,S001,A400,1.58,1.31,0.27
SUPPLIER AC,S049,A370,1.24,1.2,0.04
SUPPLIER A51,S001,A409,1.34,1.36,-0.02
STRONG ALLOY,S010,A412,2.92,1.2,1.72
SUPPLIER A33,S055,A345,1.21,1.2,0.01
TOP DIE CASTING,S084,A361,1.21,2.24,-1.03
SUPPLIER A9,S072,A343,1.74,3.16,-1.42
SUPPLIER A22,S046,A403,1.45,1.29,0.16
SUPPLIER A29,S083,A373,2.42,1.39,1.03
SUPPLIER AB,S045,A383,1.72,1.3,0.42
SUPPLIER A20,S025,A359,1.36,1.22,0.14
SUPPLIER A36,S013,A388,3.14,3.16,-0.02
TOP DIE CASTING,S066,A390,1.3,1.3,0.0
SUPPLIER A65,S049,A399,1.21,1.4,-0.19
SUPPLIER A20,S088,A373,1.38,1.28,0.1
SUPPLIER A46,S001,A400,1.39,2.41,-1.02
