Supplier_Name,Supplier_Code,Alloy,Current_LB,New_LB,change,Requested_Date,Period,Effective_Date,Year
SUPPLIER A7,S063,A383,1.62,1.66,0.02,2012-08-01 00:00:00,3,2013-03-19 00:00:00,2013
SUPPLIER A66,S056,A357,1.5,1.3,0.05,2012-08-30 00:00:00,4,2013-03-18 00:00:00,2013
TOP DIE CASTING,S023,A388,2.06,1.37,0.16,2012-09-12 00:00:00,3,2012-03-04 00:00:00,2015
SUPPLIER A48,S023,A354,1.71,1.2,0.03,2012-11-18 00:00:00,3,2014-04-10 00:00:00,2013
SUPPLIER A46,S020,A400,1.35,1.57,0.08,2012-09-15 00:00:00,4,2012-07-12 00:00:00,2013
SUPPLIER A59,S059,A394,1.79,1.2,0.04,2012-12-03 00:00:00,1,2013-04-23 00:00:00,2013
SUPPLIER A18,S001,A377,1.52,1.78,0.2,2012-12-07 00:00:00,2,2013-06-12 00:00:00,2011
SUPPLIER A72,S049,A403,1.92,1.2,0.04,2013-05-18 00:00:00,4,2013-02-26 00:00:00,2013
SUPPLIER A51,S001,A348,1.78,1.2,0.06,2012-10-17 00:00:00,3,2013-11-12 00:00:00,2013
SUPPLIER A24,S055,A407,2.05,1.89,0.05,2013-01-30 00:00:00,4,2012-10-01 00:00:00,2014
SUPPLIER A34,S075,A400,1.61,1.2,0.02,2012-07-18 00:00:00,2,2011-08-26 00:00:00,2013
SUPPLIER F,S068,A101,1.37,1.71,0.05,2012-12-07 00:00:00,3,2013-08-17 00:00:00,2013
SUPPLIER B,S019,A375,1.58,1.49,0.03,2013-03-31 00:00:00,4,2012-03-14 00:00:00,2011
SUPPLIER A20,S001,A345,1.67,1.2,0.03,2013-05-26 00:00:00,1,2010-12-25 00:00:00,2015
TOP DIE CASTING,S028,A372,1.68,1.22,0.03,2013-04-04 00:00:00,1,2012-07-28 00:00:00,2012
SUPPLIER A68,S009,A370,1.81,1.2,0.2,2013-01-27 00:00:00,2,2013-04-01 00:00:00,2014
SUPPLIER H,S037,A380,1.34,1.37,0.08,2013-02-07 00:00:00,4,2012-11-23 00:00:00,2013
SUPPLIER A72,S020,A101,1.42,1.2,0.2,2012-06-10 00:00:00,3,2013-06-12 00:00:00,2012
XPZ Supp,S083,A395,1.67,1.2,0.06,2012-11-03 00:00:00,1,2012-08-02 00:00:00,2011
SUPPLIER A43,S028,A403,1.68,1.24,0.02,2012-09-01 00:00:00,4,2012-09-15 00:00:00,2013
TOP DIE CASTING,S013,A407,2.11,1.21,0.05,2012-08-02 00:00:00,1,2013-05-09 00:00:00,2013
SUPPLIER A32,S023,A374,1.62,1.25,0.04,2012-05-02 00:00:00,4,2013-11-03 00:00:00,2013
SUPPLIER AC,S030,A347,1.67,1.35,0.05,2012-07-02 00:00:00,3,2013-01-08 00:00:00,2013
SUPPLIER A34,S050,A364,1.49,1.24,0.04,2012-07-29 00:00:00,3,2013-05-10 00:00:00,2013
SUPPLIER A66,S039,A359,1.72,1.3,0.08,2012-05-05 00:00:00,4,2013-09-05 00:00:00,2013
SUPPLIER F,S011,A398,2.37,1.2,0.06,2013-04-28 00:00:00,3,2012-12-31 00:00:00,2013
