Epoch 1, Loss G:  1.7714,Loss D:  0.0393
Epoch 189, Loss G:  0.4899,Loss D: -0.0484
Epoch 190, Loss G:  0.8431,Loss D: -0.0085
Epoch 191, Loss G:  0.8706,Loss D: -0.2539
Epoch 192, Loss G:  0.4151,Loss D: -0.1425
Epoch 193, Loss G:  0.5466,Loss D: -0.2384
Epoch 194, Loss G:  0.7151,Loss D: -0.0423
Epoch 195, Loss G:  0.7765,Loss D: -0.0027
Epoch 196, Loss G:  0.4905,Loss D: -0.0595
Epoch 197, Loss G:  0.8333,Loss D:  0.0585
Epoch 198, Loss G:  0.4517,Loss D: -0.4388
Epoch 199, Loss G:  0.7935,Loss D: -0.1886
Epoch 200, Loss G:  0.5706,Loss D: -0.2320
Epoch 201, Loss G:  0.8817,Loss D:  0.0721
Epoch 202, Loss G:  0.6307,Loss D: -0.0387
Epoch 203, Loss G:  1.0112,Loss D: -0.3981
Epoch 204, Loss G:  0.8372,Loss D: -0.1236
Epoch 205, Loss G:  0.3852,Loss D:  0.1673
Epoch 206, Loss G:  0.6275,Loss D: -0.0870
Epoch 207, Loss G:  0.7125,Loss D:  0.0028
Epoch 208, Loss G:  0.7375,Loss D: -0.1119
Epoch 209, Loss G:  0.8195,Loss D:  0.1922
Epoch 210, Loss G:  0.8953,Loss D: -0.2839
Epoch 211, Loss G:  0.6678,Loss D: -0.2129
Epoch 212, Loss G:  0.5935,Loss D:  0.2734
Epoch 213, Loss G:  0.5029,Loss D: -0.2828
Epoch 214, Loss G:  0.7793,Loss D:  0.2126
Epoch 215, Loss G:  0.5802,Loss D: -0.3095
Epoch 216, Loss G:  0.6587,Loss D:  0.1355
Epoch 217, Loss G:  0.5974,Loss D:  0.3161
Epoch 218, Loss G:  0.3468,Loss D:  0.3224
Epoch 219, Loss G:  0.5636,Loss D:  0.0654
Epoch 220, Loss G:  0.5254,Loss D:  0.2452
Epoch 221, Loss G:  0.3837,Loss D:  0.0790
Epoch 222, Loss G:  0.3709,Loss D:  0.0615
Epoch 223, Loss G:  0.4073,Loss D: -0.0054
Epoch 224, Loss G:  0.5135,Loss D:  0.1207
Epoch 225, Loss G:  0.3362,Loss D: -0.0097
Epoch 226, Loss G:  0.6516,Loss D: -0.0212
Epoch 227, Loss G:  0.5993,Loss D:  0.1550
Epoch 228, Loss G:  0.7711,Loss D: -0.2348
Epoch 229, Loss G:  0.6226,Loss D:  0.0560
Epoch 230, Loss G:  0.5333,Loss D: -0.2358
Epoch 231, Loss G:  0.7223,Loss D: -0.1383
Epoch 232, Loss G:  0.6789,Loss D:  0.0667
Epoch 233, Loss G:  0.9195,Loss D:  0.1294
Epoch 234, Loss G:  0.7454,Loss D: -0.2974
Epoch 235, Loss G:  0.7475,Loss D: -0.0325
Epoch 236, Loss G:  0.6293,Loss D: -0.5495
Epoch 237, Loss G:  0.9823,Loss D:  0.0332
Epoch 238, Loss G:  0.9470,Loss D: -0.2001
Epoch 239, Loss G:  0.5905,Loss D: -0.1982
Epoch 240, Loss G:  1.0495,Loss D: -0.1028
Epoch 241, Loss G:  0.7543,Loss D: -0.1268
Epoch 242, Loss G:  0.8272,Loss D: -0.1558
Epoch 243, Loss G:  0.6757,Loss D: -0.0162
Epoch 244, Loss G:  0.6044,Loss D: -0.1950
Epoch 245, Loss G:  0.8052,Loss D: -0.3378
Epoch 246, Loss G:  0.8771,Loss D: -0.0161
Epoch 247, Loss G:  0.6888,Loss D: -0.2397
Epoch 248, Loss G:  0.7626,Loss D: -0.1832
Epoch 249, Loss G:  0.6658,Loss D: -0.0357
Epoch 250, Loss G:  0.6079,Loss D: -0.0936
Epoch 251, Loss G:  0.7214,Loss D:  0.1251
Epoch 252, Loss G:  0.7649,Loss D: -0.2175
Epoch 253, Loss G:  0.4875,Loss D: -0.0576
Epoch 254, Loss G:  0.6396,Loss D: -0.0743
Epoch 255, Loss G:  0.4398,Loss D:  0.0898
Epoch 256, Loss G:  0.4358,Loss D: -0.2352
Epoch 257, Loss G:  0.5030,Loss D:  0.0463
Epoch 258, Loss G:  0.5566,Loss D: -0.0889
Epoch 259, Loss G:  0.5552,Loss D: -0.2044
Epoch 260, Loss G:  0.5357,Loss D:  0.0947
Epoch 261, Loss G:  0.5773,Loss D: -0.1666
Epoch 262, Loss G:  0.6144,Loss D: -0.2698
Epoch 263, Loss G:  0.6500,Loss D:  0.0011
Epoch 264, Loss G:  0.5555,Loss D:  0.1105
Epoch 265, Loss G:  0.6661,Loss D: -0.1227
Epoch 266, Loss G:  0.5274,Loss D:  0.0187
Epoch 267, Loss G:  0.6082,Loss D:  0.0642
Epoch 268, Loss G:  0.6483,Loss D: -0.0872
Epoch 269, Loss G:  0.5267,Loss D:  0.0921
Epoch 270, Loss G:  0.4571,Loss D: -0.2652
Epoch 271, Loss G:  0.4613,Loss D: -0.0517
Epoch 272, Loss G:  0.9163,Loss D: -0.0455
Epoch 273, Loss G:  0.6522,Loss D: -0.2736
Epoch 274, Loss G:  0.5282,Loss D: -0.0555
Epoch 275, Loss G:  0.5088,Loss D: -0.2425
Epoch 276, Loss G:  0.5594,Loss D:  0.0086
Epoch 277, Loss G:  0.3137,Loss D:  0.1335
Epoch 278, Loss G:  0.3280,Loss D: -0.0688
Epoch 279, Loss G:  0.7684,Loss D: -0.3085
Epoch 280, Loss G:  0.6957,Loss D: -0.1919
Epoch 281, Loss G:  0.5128,Loss D: -0.1491
Epoch 282, Loss G:  0.4312,Loss D: -0.1908
Epoch 283, Loss G:  0.6443,Loss D: -0.2070
Epoch 284, Loss G:  0.6604,Loss D: -0.3360
Epoch 285, Loss G:  0.6308,Loss D:  0.0037
Epoch 286, Loss G:  0.6255,Loss D: -0.2938
Epoch 287, Loss G:  0.5030,Loss D: -0.2929
Epoch 288, Loss G:  0.4926,Loss D:  0.0686
Epoch 289, Loss G:  0.4307,Loss D: -0.1512
Epoch 290, Loss G:  0.9409,Loss D: -0.0455
Epoch 291, Loss G:  0.6244,Loss D: -0.0626
Epoch 292, Loss G:  0.4882,Loss D:  0.1942
Epoch 293, Loss G:  0.3753,Loss D: -0.3631
Epoch 294, Loss G:  0.4963,Loss D: -0.2193
Epoch 295, Loss G:  0.6845,Loss D:  0.0336
Epoch 296, Loss G:  0.3723,Loss D: -0.2360
Epoch 297, Loss G:  0.2221,Loss D:  0.0394
Epoch 298, Loss G:  0.4609,Loss D: -0.1684
Epoch 299, Loss G:  0.6882,Loss D: -0.3438
Epoch 300, Loss G:  0.7236,Loss D: -0.2406
