Supplier_Name,Supplier_Code,Alloy,Current_LB,New_LB,change,Requested_Date,Period,Effective_Date,Year
SUPPLIER A37,S079,A101,1.54,1.41,-0.03,2013-11-01 00:00:00,3,2014-01-06 00:00:00,2013
SUPPLIER A9,S035,A403,1.4,1.42,-0.03,2013-11-03 00:00:00,1,2011-05-03 00:00:00,2012
SUPPLIER A10,S008,A391,1.58,1.38,-0.02,2013-05-31 00:00:00,2,2013-02-26 00:00:00,2013
STRONG ALLOY,S081,A412,1.44,1.44,0.01,2013-10-16 00:00:00,3,2013-11-19 00:00:00,2013
SUPPLIER A17,S007,A385,1.74,1.26,-0.02,2013-04-25 00:00:00,1,2011-12-26 00:00:00,2013
SUPPLIER A4,S066,A412,1.42,1.22,-0.03,2013-11-21 00:00:00,3,2013-09-12 00:00:00,2012
SUPPLIER A53,S058,A340,1.5,1.24,-0.03,2013-05-22 00:00:00,2,2015-12-27 00:00:00,2013
SUPPLIER A36,S059,A406,1.87,1.96,0.0,2013-10-24 00:00:00,3,2013-10-16 00:00:00,2013
SUPPLIER A61,S044,A412,1.22,1.42,-0.02,2013-02-10 00:00:00,2,2012-11-20 00:00:00,2013
SUPPLIER H,S037,A341,1.52,1.57,0.2,2013-09-22 00:00:00,3,2018-01-02 00:00:00,2013
TOP DIE CASTING,S066,A343,1.47,1.64,0.01,2013-04-24 00:00:00,2,2012-04-16 00:00:00,2012
SUPPLIER A25,S050,A340,1.78,1.2,-0.03,2013-10-23 00:00:00,2,2012-12-26 00:00:00,2013
SUPPLIER A64,S074,A408,1.32,1.56,0.01,2014-02-11 00:00:00,3,2013-02-05 00:00:00,2014
SUPPLIER A20,S056,A374,2.12,1.56,-0.03,2013-08-26 00:00:00,1,2013-08-27 00:00:00,2013
SUPPLIER A65,S077,A381,1.42,1.57,0.01,2014-03-07 00:00:00,2,2014-01-29 00:00:00,2013
XPZ Supp,S028,A409,1.61,1.27,-0.02,2013-05-06 00:00:00,4,2012-04-02 00:00:00,2013
SUPPLIER A62,S032,A415,1.49,1.34,-0.0,2013-10-10 00:00:00,3,2013-08-01 00:00:00,2013
SUPPLIER A6,S073,A415,1.48,1.94,-0.03,2013-05-19 00:00:00,3,2012-10-10 00:00:00,2016
SUPPLIER A15,S069,A340,1.7,2.22,-0.03,2013-08-30 00:00:00,2,2011-08-10 00:00:00,2013
SUPPLIER A31,S046,A359,1.54,1.52,0.03,2013-04-08 00:00:00,4,2013-05-08 00:00:00,2015
SUPPLIER A24,S042,A345,1.41,1.2,0.02,2013-08-11 00:00:00,2,2013-07-20 00:00:00,2013
SUPPLIER A1,S054,A351,1.26,2.13,0.01,2013-10-29 00:00:00,2,2013-05-08 00:00:00,2013
SUPPLIER A67,S027,A388,1.74,1.53,-0.03,2013-12-11 00:00:00,1,2012-02-20 00:00:00,2015
SUPPLIER A34,S055,A386,1.52,1.33,0.02,2013-10-14 00:00:00,2,2013-04-05 00:00:00,2013
SUPPLIER A73,S093,A390,1.35,1.2,-0.0,2014-01-08 00:00:00,3,2013-02-28 00:00:00,2013
SUPPLIER A60,S052,A363,1.42,1.52,-0.03,2013-09-11 00:00:00,1,2012-05-25 00:00:00,2013
SUPPLIER A62,S055,A362,1.57,1.78,-0.03,2013-06-20 00:00:00,3,2012-07-17 00:00:00,2013
SUPPLIER A66,S057,A381,1.43,1.89,0.0,2014-01-15 00:00:00,2,2011-05-17 00:00:00,2013
SUPPLIER A65,S001,A359,1.4,1.86,-0.01,2013-05-04 00:00:00,1,2011-06-01 00:00:00,2011
SUPPLIER A3,S012,A372,2.39,1.5,0.03,2013-10-02 00:00:00,3,2013-07-19 00:00:00,2013
SUPPLIER A9,S072,A392,1.43,1.46,0.02,2013-06-28 00:00:00,3,2013-04-01 00:00:00,2013
SUPPLIER A2,S015,A400,1.51,1.38,-0.01,2013-11-30 00:00:00,3,2013-03-21 00:00:00,2013
SUPPLIER AA,S073,A373,1.52,1.3,-0.02,2013-09-02 00:00:00,2,2013-03-07 00:00:00,2016
SUPPLIER A15,S086,A400,1.67,1.46,-0.03,2013-06-16 00:00:00,2,2013-10-17 00:00:00,2016
SUPPLIER A57,S058,A381,1.63,1.41,0.01,2013-03-14 00:00:00,2,2012-12-13 00:00:00,2011
SUPPLIER A49,S045,A348,1.39,1.39,-0.03,2013-12-03 00:00:00,1,2013-06-08 00:00:00,2013
SUPPLIER A70,S061,A403,1.36,1.41,0.01,2013-11-15 00:00:00,3,2011-10-16 00:00:00,2011
SUPPLIER A19,S086,A371,1.39,1.94,0.05,2013-05-03 00:00:00,1,2012-08-21 00:00:00,2016
SUPPLIER A65,S014,A402,1.46,2.03,-0.03,2013-12-07 00:00:00,3,2013-09-02 00:00:00,2013
SUPPLIER AB,S010,A320,1.34,1.82,-0.03,2014-02-03 00:00:00,2,2013-12-09 00:00:00,2015
SUPPLIER AC,S092,A320,1.9,1.43,0.01,2013-03-23 00:00:00,2,2012-11-01 00:00:00,2012
SUPPLIER A38,S024,A320,1.37,1.73,-0.02,2013-06-14 00:00:00,1,2013-01-15 00:00:00,2013
SUPPLIER A61,S050,A395,1.53,2.01,-0.03,2013-05-02 00:00:00,1,2012-10-18 00:00:00,2013
XYZ,S039,A397,1.46,1.51,-0.02,2013-09-20 00:00:00,2,2011-09-07 00:00:00,2013
SUPPLIER A54,S025,A330,1.62,3.16,0.04,2013-02-01 00:00:00,3,2013-02-04 00:00:00,2013
SUPPLIER A23,S047,A375,1.55,1.27,-0.01,2013-06-28 00:00:00,2,2012-01-09 00:00:00,2013
SUPPLIER A65,S039,A400,1.39,1.2,0.01,2014-01-14 00:00:00,3,2019-05-24 00:00:00,2013
SUPPLIER A19,S014,A405,1.46,1.48,-0.03,2013-08-05 00:00:00,3,2013-08-22 00:00:00,2012
SUPPLIER A64,S001,A341,1.52,1.42,-0.03,2013-06-10 00:00:00,2,2013-12-11 00:00:00,2013
SUPPLIER A8,S027,A362,1.41,1.7,0.0,2013-08-31 00:00:00,1,2012-09-15 00:00:00,2013
SUPPLIER A72,S026,A363,1.21,1.23,-0.03,2013-10-04 00:00:00,2,2013-09-28 00:00:00,2011
SUPPLIER E,S059,A388,2.01,1.68,0.01,2014-01-01 00:00:00,1,2012-10-23 00:00:00,2011
SUPPLIER A56,S048,A340,1.78,1.67,-0.02,2014-01-23 00:00:00,3,2013-02-06 00:00:00,2016
SUPPLIER A50,S037,A397,1.21,2.02,0.0,2013-07-20 00:00:00,2,2013-03-21 00:00:00,2013
SUPPLIER A62,S016,A369,1.48,1.56,-0.01,2014-01-18 00:00:00,4,2013-10-19 00:00:00,2012
SUPPLIER H,S079,A360,2.21,1.2,-0.01,2014-01-02 00:00:00,3,2014-04-05 00:00:00,2011
SUPPLIER A20,S015,A364,1.72,1.95,-0.02,2013-05-07 00:00:00,3,2013-07-17 00:00:00,2013
SUPPLIER A66,S074,A394,1.47,2.1,-0.01,2013-01-19 00:00:00,2,2015-11-17 00:00:00,2013
SUPPLIER A46,S009,A352,1.47,1.2,-0.03,2013-05-12 00:00:00,1,2010-08-29 00:00:00,2011
ABC Supplier,S046,A347,1.58,1.94,-0.03,2013-08-25 00:00:00,2,2012-11-15 00:00:00,2013
SUPPLIER A58,S003,A380,1.35,1.4,-0.03,2014-03-07 00:00:00,3,2013-09-30 00:00:00,2013
SUPPLIER B,S022,A392,1.53,3.0,0.0,2014-01-12 00:00:00,2,2012-02-15 00:00:00,2016
STRONG ALLOY,S022,A101,1.4,1.29,0.02,2013-08-01 00:00:00,2,2012-11-05 00:00:00,2014
SUPPLIER A57,S052,A385,1.49,1.83,0.03,2013-06-10 00:00:00,3,2013-02-28 00:00:00,2013
SUPPLIER A28,S088,A101,1.36,1.44,0.02,2013-11-21 00:00:00,1,2013-03-01 00:00:00,2013
SUPPLIER A25,S001,A408,1.21,1.43,-0.03,2014-01-16 00:00:00,4,2012-09-29 00:00:00,2012
SUPPLIER A28,S012,A401,2.42,1.68,-0.03,2013-09-02 00:00:00,3,2011-03-26 00:00:00,2012
SUPPLIER C,S084,A341,1.54,2.02,-0.03,2013-08-25 00:00:00,1,2012-11-01 00:00:00,2013
TOP DIE CASTING,S001,A380,1.22,1.31,-0.03,2014-03-01 00:00:00,2,2013-05-07 00:00:00,2012
