Epoch 1, Loss G:  4.3941,Loss D:  0.0100
Epoch 101, Loss G:  3.9470,Loss D:  0.0943
Epoch 102, Loss G:  3.9703,Loss D:  0.0578
Epoch 103, Loss G:  4.0549,Loss D:  0.0410
Epoch 104, Loss G:  4.0170,Loss D:  0.1505
Epoch 105, Loss G:  3.9825,Loss D:  0.0777
Epoch 106, Loss G:  3.9817,Loss D: -0.0901
Epoch 107, Loss G:  4.1025,Loss D:  0.0381
Epoch 108, Loss G:  4.0938,Loss D:  0.1135
Epoch 109, Loss G:  4.0597,Loss D:  0.0056
Epoch 110, Loss G:  4.0472,Loss D:  0.0197
Epoch 111, Loss G:  4.1185,Loss D:  0.0625
Epoch 112, Loss G:  4.1332,Loss D:  0.0389
Epoch 113, Loss G:  4.0748,Loss D: -0.0120
Epoch 114, Loss G:  4.0334,Loss D: -0.0383
Epoch 115, Loss G:  4.0314,Loss D:  0.0327
Epoch 116, Loss G:  4.0150,Loss D: -0.0313
Epoch 117, Loss G:  4.1383,Loss D:  0.0261
Epoch 118, Loss G:  4.1607,Loss D: -0.0600
Epoch 119, Loss G:  4.0631,Loss D: -0.0338
Epoch 120, Loss G:  3.9887,Loss D:  0.0288
Epoch 121, Loss G:  4.1535,Loss D: -0.0663
Epoch 122, Loss G:  4.0828,Loss D: -0.1070
Epoch 123, Loss G:  4.0870,Loss D:  0.0336
Epoch 124, Loss G:  4.1228,Loss D: -0.0167
Epoch 125, Loss G:  4.1014,Loss D:  0.0196
Epoch 126, Loss G:  4.0946,Loss D: -0.0644
Epoch 127, Loss G:  4.0968,Loss D:  0.0272
Epoch 128, Loss G:  4.0088,Loss D:  0.0369
Epoch 129, Loss G:  4.1483,Loss D:  0.0046
Epoch 130, Loss G:  4.0989,Loss D: -0.0078
Epoch 131, Loss G:  3.9801,Loss D: -0.0016
Epoch 132, Loss G:  4.0413,Loss D:  0.1087
Epoch 133, Loss G:  4.0345,Loss D:  0.0745
Epoch 134, Loss G:  4.0255,Loss D:  0.0890
Epoch 135, Loss G:  4.0108,Loss D: -0.0553
Epoch 136, Loss G:  3.9130,Loss D: -0.0548
Epoch 137, Loss G:  3.9815,Loss D:  0.0089
Epoch 138, Loss G:  3.9703,Loss D:  0.0588
Epoch 139, Loss G:  3.9879,Loss D:  0.0561
Epoch 140, Loss G:  4.0863,Loss D: -0.0434
Epoch 141, Loss G:  4.0510,Loss D:  0.0840
Epoch 142, Loss G:  3.9755,Loss D:  0.0114
Epoch 143, Loss G:  3.9147,Loss D:  0.0520
Epoch 144, Loss G:  4.0735,Loss D: -0.0323
Epoch 145, Loss G:  4.0368,Loss D:  0.0264
Epoch 146, Loss G:  4.0675,Loss D: -0.0336
Epoch 147, Loss G:  4.0529,Loss D: -0.0042
Epoch 148, Loss G:  4.1144,Loss D: -0.0107
Epoch 149, Loss G:  4.1558,Loss D: -0.0147
Epoch 150, Loss G:  3.9945,Loss D: -0.0431
Epoch 151, Loss G:  4.0636,Loss D: -0.0445
Epoch 152, Loss G:  3.9905,Loss D: -0.0301
Epoch 153, Loss G:  3.9687,Loss D:  0.0139
Epoch 154, Loss G:  4.0493,Loss D:  0.0637
Epoch 155, Loss G:  4.0077,Loss D: -0.0167
Epoch 156, Loss G:  4.0955,Loss D: -0.0205
Epoch 157, Loss G:  4.0402,Loss D:  0.0872
Epoch 158, Loss G:  4.0148,Loss D:  0.0150
Epoch 159, Loss G:  4.0828,Loss D: -0.0114
Epoch 160, Loss G:  4.0666,Loss D:  0.1249
Epoch 161, Loss G:  4.0893,Loss D: -0.0323
Epoch 162, Loss G:  4.0156,Loss D:  0.0304
Epoch 163, Loss G:  4.0120,Loss D:  0.0480
Epoch 164, Loss G:  4.0612,Loss D:  0.0633
Epoch 165, Loss G:  4.0934,Loss D: -0.0574
Epoch 166, Loss G:  4.0484,Loss D: -0.0321
Epoch 167, Loss G:  3.9996,Loss D:  0.0296
Epoch 168, Loss G:  4.0397,Loss D:  0.0354
Epoch 169, Loss G:  4.0311,Loss D: -0.0811
Epoch 170, Loss G:  4.0125,Loss D: -0.0691
Epoch 171, Loss G:  3.9671,Loss D: -0.0311
Epoch 172, Loss G:  4.0930,Loss D: -0.0139
Epoch 173, Loss G:  4.0118,Loss D: -0.0178
Epoch 174, Loss G:  3.9994,Loss D: -0.0738
Epoch 175, Loss G:  4.0255,Loss D: -0.0058
Epoch 176, Loss G:  4.0059,Loss D: -0.0299
Epoch 177, Loss G:  4.0756,Loss D: -0.0342
Epoch 178, Loss G:  4.0345,Loss D: -0.0117
Epoch 179, Loss G:  4.1591,Loss D: -0.0041
Epoch 180, Loss G:  4.1651,Loss D:  0.0172
Epoch 181, Loss G:  4.0433,Loss D: -0.0316
Epoch 182, Loss G:  4.0121,Loss D:  0.0249
Epoch 183, Loss G:  4.0182,Loss D: -0.0052
Epoch 184, Loss G:  4.0996,Loss D:  0.0266
Epoch 185, Loss G:  4.0255,Loss D:  0.0542
Epoch 186, Loss G:  4.0207,Loss D: -0.0207
Epoch 187, Loss G:  4.0683,Loss D:  0.0707
Epoch 188, Loss G:  3.9993,Loss D:  0.0672
Epoch 189, Loss G:  4.0097,Loss D:  0.0188
Epoch 190, Loss G:  4.0932,Loss D:  0.0526
Epoch 191, Loss G:  3.9215,Loss D:  0.0849
Epoch 192, Loss G:  3.9825,Loss D:  0.0134
Epoch 193, Loss G:  3.9746,Loss D:  0.0080
Epoch 194, Loss G:  4.0904,Loss D:  0.0856
Epoch 195, Loss G:  3.9654,Loss D:  0.0075
Epoch 196, Loss G:  3.9737,Loss D:  0.0035
Epoch 197, Loss G:  3.9337,Loss D:  0.0165
Epoch 198, Loss G:  4.0798,Loss D: -0.0714
Epoch 199, Loss G:  4.0176,Loss D:  0.0314
Epoch 200, Loss G:  4.0473,Loss D: -0.0402
Epoch 201, Loss G:  4.1289,Loss D:  0.0559
Epoch 202, Loss G:  4.0378,Loss D: -0.0032
Epoch 203, Loss G:  4.1059,Loss D: -0.0104
Epoch 204, Loss G:  4.0645,Loss D: -0.0886
Epoch 205, Loss G:  4.0606,Loss D: -0.0621
Epoch 206, Loss G:  4.0158,Loss D: -0.0057
Epoch 207, Loss G:  4.0777,Loss D: -0.0312
Epoch 208, Loss G:  4.0525,Loss D:  0.0166
Epoch 209, Loss G:  4.1003,Loss D: -0.0939
Epoch 210, Loss G:  3.9834,Loss D: -0.0536
Epoch 211, Loss G:  4.0508,Loss D: -0.0201
Epoch 212, Loss G:  4.0899,Loss D: -0.0523
Epoch 213, Loss G:  4.1226,Loss D: -0.0724
Epoch 214, Loss G:  4.1111,Loss D: -0.0083
Epoch 215, Loss G:  4.1296,Loss D: -0.0848
Epoch 216, Loss G:  4.1040,Loss D:  0.0243
Epoch 217, Loss G:  4.0190,Loss D:  0.0132
Epoch 218, Loss G:  3.8983,Loss D: -0.0310
Epoch 219, Loss G:  4.0448,Loss D:  0.0420
Epoch 220, Loss G:  4.0037,Loss D: -0.0006
Epoch 221, Loss G:  4.0370,Loss D:  0.0320
Epoch 222, Loss G:  3.9727,Loss D:  0.0561
Epoch 223, Loss G:  4.0365,Loss D: -0.0199
Epoch 224, Loss G:  4.0454,Loss D: -0.0977
Epoch 225, Loss G:  3.9797,Loss D:  0.0714
Epoch 226, Loss G:  4.0506,Loss D:  0.1202
Epoch 227, Loss G:  4.0295,Loss D:  0.0672
Epoch 228, Loss G:  3.9035,Loss D:  0.0006
Epoch 229, Loss G:  3.9705,Loss D:  0.0072
Epoch 230, Loss G:  3.9906,Loss D:  0.0819
Epoch 231, Loss G:  4.0302,Loss D: -0.0444
Epoch 232, Loss G:  4.0839,Loss D: -0.0144
Epoch 233, Loss G:  3.9318,Loss D:  0.0495
Epoch 234, Loss G:  4.0003,Loss D:  0.0584
Epoch 235, Loss G:  4.0093,Loss D: -0.0561
Epoch 236, Loss G:  4.1242,Loss D: -0.0984
Epoch 237, Loss G:  3.9820,Loss D:  0.0799
Epoch 238, Loss G:  4.1109,Loss D:  0.0313
Epoch 239, Loss G:  4.1551,Loss D: -0.0332
Epoch 240, Loss G:  4.0190,Loss D: -0.0247
Epoch 241, Loss G:  4.1705,Loss D:  0.0221
Epoch 242, Loss G:  3.9018,Loss D: -0.0616
Epoch 243, Loss G:  3.9878,Loss D: -0.0200
Epoch 244, Loss G:  3.9966,Loss D:  0.0289
Epoch 245, Loss G:  3.9530,Loss D:  0.0673
Epoch 246, Loss G:  4.1008,Loss D:  0.0285
Epoch 247, Loss G:  4.0468,Loss D: -0.0644
Epoch 248, Loss G:  3.9526,Loss D:  0.0529
Epoch 249, Loss G:  4.0191,Loss D:  0.0793
Epoch 250, Loss G:  4.0424,Loss D: -0.0477
Epoch 251, Loss G:  3.9894,Loss D:  0.0133
Epoch 252, Loss G:  3.9786,Loss D:  0.0854
Epoch 253, Loss G:  3.8653,Loss D:  0.0645
Epoch 254, Loss G:  4.0028,Loss D:  0.0695
Epoch 255, Loss G:  4.0538,Loss D:  0.0307
Epoch 256, Loss G:  3.9068,Loss D: -0.0063
Epoch 257, Loss G:  3.9502,Loss D: -0.0118
Epoch 258, Loss G:  4.0207,Loss D:  0.0200
Epoch 259, Loss G:  4.0119,Loss D: -0.0830
Epoch 260, Loss G:  3.9251,Loss D: -0.0419
Epoch 261, Loss G:  3.9511,Loss D:  0.0043
Epoch 262, Loss G:  3.9797,Loss D: -0.1106
Epoch 263, Loss G:  3.9420,Loss D: -0.1109
Epoch 264, Loss G:  3.9287,Loss D: -0.0083
Epoch 265, Loss G:  3.8473,Loss D:  0.0202
Epoch 266, Loss G:  4.1370,Loss D: -0.0642
Epoch 267, Loss G:  4.0339,Loss D: -0.0513
Epoch 268, Loss G:  3.9235,Loss D: -0.0634
Epoch 269, Loss G:  3.9587,Loss D: -0.0692
Epoch 270, Loss G:  3.8689,Loss D: -0.0291
Epoch 271, Loss G:  4.0382,Loss D: -0.0069
Epoch 272, Loss G:  3.8777,Loss D: -0.0496
Epoch 273, Loss G:  3.9770,Loss D: -0.0437
Epoch 274, Loss G:  3.8923,Loss D: -0.0277
Epoch 275, Loss G:  3.9281,Loss D:  0.0721
Epoch 276, Loss G:  3.8370,Loss D: -0.0459
Epoch 277, Loss G:  3.9820,Loss D: -0.0145
Epoch 278, Loss G:  3.8631,Loss D:  0.0058
Epoch 279, Loss G:  3.9861,Loss D:  0.0660
Epoch 280, Loss G:  3.9390,Loss D: -0.0127
Epoch 281, Loss G:  3.9128,Loss D: -0.0045
Epoch 282, Loss G:  3.9153,Loss D:  0.0541
Epoch 283, Loss G:  3.8582,Loss D: -0.0308
Epoch 284, Loss G:  3.9591,Loss D:  0.0403
Epoch 285, Loss G:  3.9384,Loss D: -0.0199
Epoch 286, Loss G:  3.8916,Loss D:  0.0255
Epoch 287, Loss G:  3.9354,Loss D: -0.0624
Epoch 288, Loss G:  3.9215,Loss D:  0.0021
Epoch 289, Loss G:  3.9161,Loss D: -0.0869
Epoch 290, Loss G:  3.9862,Loss D: -0.0391
Epoch 291, Loss G:  3.9938,Loss D: -0.0860
Epoch 292, Loss G:  4.0647,Loss D:  0.0146
Epoch 293, Loss G:  3.9629,Loss D: -0.0376
Epoch 294, Loss G:  4.0473,Loss D: -0.0106
Epoch 295, Loss G:  3.8965,Loss D: -0.0474
Epoch 296, Loss G:  4.0104,Loss D: -0.0280
Epoch 297, Loss G:  3.8690,Loss D: -0.0560
Epoch 298, Loss G:  3.9661,Loss D:  0.0490
Epoch 299, Loss G:  3.9766,Loss D: -0.0315
Epoch 300, Loss G:  3.9072,Loss D: -0.0477
