Time,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20
19-07-2008 14.43,3095.78,2428.37,2216.3638,1192.5377,1.3993,100,97.6477,0.1257,1.5816,-0.01788549645701681,-0.0006,0.9549876312977785,207.4764,0,10.6979,420.7421,10.217983590311453,0.9622,191.1310917413316,12.5524,1.4026
22-07-2008 14.00,3066.77,2428.37,2202.3778,877.6266,1.224,100,105.6395,0.1185,1.5207,-0.002271985577879696,0.006,0.9560158782084622,195.8435,0,9.051,422.6602,9.987551426152,0.9627,189.40598916203697,12.3682,1.4065
19-07-2008 12.32,2990.1,2428.37,2270.2556,1275.9724,1.2649,100,104.1076,0.1257,1.566,0.025,-0.0025,0.9517119813653223,199.5238,0,8.3326,409.8843,9.891673233403873,0.9683,183.3869,12.5162,1.3825
22-07-2008 0.03,3095.78,2428.37,2222.3431,877.6266,1.5509,100,101.0348,0.1208,1.5114,0.0237028828385809,-0.0042,0.9645217453983832,208.388,0,9.1698,411.9685,9.397271895144687,0.9709,188.70528057311375,12.5085,1.3825
22-07-2008 8.41,3086.34,2666.38,2196.5119,1468.2619,1.4078,100,106.2573,0.1215,1.5816,0.022787668474798038,0.0086,0.9433,209.1541,0,13.6872,404.5667,9.688992553214995,0.9659,183.3869,12.5635,1.4019
22-07-2008 14.00,3048.11,2463.33,2186.6417,1628.7771,1.5509,100,98.0953,0.1257,1.5816,0.0005707444832265852,0.0099,0.9564857831162625,203.717,0,9.5479,417.8728,10.066159192191867,0.9636,188.24282561207372,12.4553,1.4048
19-07-2008 19.45,3095.78,2509.45,2190.4714,877.6266,1.5509,100,100.1049,0.1241,1.475,0.013737089031394693,0.0182,0.9433,197.7905,0,10.3209,428.9826,9.1999,0.9633,183.3869,12.365,1.419
22-07-2008 0.03,2998.41,2428.37,2186.1246,1051.3375,1.5509,100,106.1927,0.1219,1.5678,0.007561181190419756,-0.0129,0.9433,197.439,0,9.7759,423.3661,9.1999,0.9666,183.77509505202084,12.4108,1.4278
19-07-2008 13.17,3067.63,2428.37,2264.2008,877.6266,1.254,100,95.4878,0.1185,1.498,0.025,0.0106,0.9640852959337171,195.7108,0,10.2187,415.2215,9.9132042416856,0.9708,183.3869,12.3412,1.4089
19-07-2008 12.32,3008.33,2428.37,2184.4333,877.6266,1.5509,100,107.8711,0.1225,1.5816,0.025,-0.0179,0.9514720682397251,208.1635,0,8.2874,428.9826,9.244674036407783,0.964,193.0913981526719,12.5635,1.4105
19-07-2008 19.45,3036.49,2431.85,2212.8756,877.6266,1.5509,100,99.1349,0.1257,1.4774,0.01674109597730871,0.0083,0.9483421346347292,197.8413,0,9.0573,413.2146,9.512993250610437,0.9669,183.3869,10.9489,1.3999
21-07-2008 8.21,3095.78,2474.45,2184.4333,1394.8797,1.4314,100,96.6319,0.1185,1.5753,0.010867356244873828,0.0113,0.9543357741660039,226.0086,0,9.8566,423.6386,9.1999,0.9629,183.3869,12.4615,1.4131
22-07-2008 8.41,3095.78,2500.12,2184.4333,1472.1442,1.301,100,95.4878,0.1222,1.4774,0.019010681327887295,-0.0037,0.9580416306479397,198.8756,0,7.9558,426.9631,9.554487803938562,0.9661,185.17183996183917,12.5635,1.4077
19-07-2008 17.53,3095.78,2428.37,2244.7446,1698.0172,1.4662,100,104.6769,0.1257,1.5018,-0.0028062010325672297,-0.0147,0.9550221307642875,198.1759,0,9.6096,414.6825,9.1999,0.9699,185.9796265667007,12.5635,1.4154
19-07-2008 13.17,3059.38,2481.48,2187.1306,877.6266,1.5509,100,102.5787,0.1196,1.5816,-0.02273735055234953,-0.0045,0.9539090954716405,203.1901,0,11.7428,428.9826,9.984283297991828,0.9631,188.89845453748913,12.5635,1.3924
19-07-2008 20.24,3095.78,2428.37,2184.4333,1135.1831,1.5509,100,101.7115,0.125,1.5314,-0.0367,0.0058,0.9551371021841404,202.0533,0,9.5367,415.6341,9.974470249085988,0.9741,183.7641495381064,12.5635,1.4194
22-07-2008 14.00,3095.78,2606.89,2184.4333,938.8449,1.366,100,102.3553,0.1257,1.5816,-0.0030702344303436165,0.0186,0.9433,198.3768,0,10.1276,422.5049,9.633529777349102,0.9666,183.3869,12.4121,1.4195
22-07-2008 8.41,3023.92,2428.37,2200.7685,1272.8212,1.0758,100,100.5494,0.125,1.5816,0.025,-0.0004,0.9568260148772978,226.0086,0,8.9158,428.6001,9.342248362431194,0.9643,201.74722444696553,12.5609,1.4013
19-07-2008 20.24,3086.41,2444.14,2198.4802,877.6266,0.7884,100,95.7613,0.1222,1.5687,-0.01714523103057812,0.0156,0.9597534282036271,199.2429,0,10.0313,414.2292,9.428873336731469,0.9633,212.0103098171815,12.5635,1.4087
19-07-2008 12.32,3088.39,2447.15,2184.4333,1407.004,1.5509,100,96.4129,0.1257,1.541,0.011190609075907597,0.0181,0.9548755040363185,204.2807,0,11.2896,428.9826,9.1999,0.9658,183.3869,12.3004,1.4251
19-07-2008 12.32,3095.78,2428.37,2213.9413,1674.866,1.5509,100,107.8711,0.1257,1.5318,0.025,-0.0075,0.9574453554628266,204.9829,0,8.3403,411.9574,9.494938870687953,0.9648,185.77271232532698,12.5522,1.4125
19-07-2008 14.43,3095.78,2580.89,2184.4333,877.6266,1.5509,100,106.2578,0.1248,1.4617,-0.0344465865918329,0.0018,0.9499713424454104,196.2618,0,8.7629,428.9826,9.544594958113086,0.9616,185.62570188866883,12.5635,1.4252
19-07-2008 17.53,3087.09,2472.48,2184.4333,877.6266,1.3929,100,101.1552,0.1204,1.5816,-0.03043089610293374,-0.0101,0.9433,200.976,0,10.0748,411.9437,9.674519262268017,0.9583,194.79197774812516,12.476,1.387
22-07-2008 2.59,3078.57,2475.45,2207.1111,942.6637,1.479,100,107.8711,0.1197,1.5315,-0.0367,-0.0164,0.9611729629529366,198.6192,0,8.0177,419.911,9.1999,0.9676,186.43562592993652,12.3524,1.4067
19-07-2008 20.24,3008.6,2428.37,2184.4333,1698.0172,1.413,100,102.4079,0.1257,1.5577,-0.03342840108222423,-0.0179,0.9433,205.4878,0,7.9558,423.8321,9.862610845150012,0.9634,186.49633672186772,12.4003,1.4028
22-07-2008 14.00,3095.78,2528.45,2184.4333,1583.1042,1.5509,100,99.5193,0.1244,1.5407,-0.004483526974169665,0.0195,0.9490854677564594,205.3072,0,13.6872,420.8758,9.211360362555961,0.9747,186.9155145941016,12.5635,1.3973
21-07-2008 11.53,3039.07,2449.45,2219.1478,877.6266,1.5433,100,101.1351,0.1254,1.5133,0.0014999361748049226,-0.0062,0.9525494763907708,205.0777,0,10.0161,428.6304,9.238448857332047,0.9632,190.61353885837292,12.4568,1.3933
19-07-2008 21.57,2920.07,2428.37,2184.4333,877.6266,1.5509,100,97.9538,0.1257,1.4619,0.009239375980352363,-0.0179,0.9433,192.9787,0,8.5095,417.167,9.1999,0.9666,183.3869,12.5635,1.3825
19-07-2008 21.35,2968.62,2527.27,2255.2297,877.6266,1.398,100,106.3033,0.1237,1.5709,0.007680936544346728,-0.0011,0.9574709149329549,210.8398,0,13.1123,428.9826,9.266924457906942,0.9637,185.2091689190337,12.1983,1.4278
19-07-2008 14.43,3014.55,2589.11,2230.7922,1063.152,1.5163,100,104.7773,0.1256,1.5816,0.025,-0.009,0.9433,205.4503,0,8.7387,417.8184,9.1999,0.9654,213.35990897427666,12.336,1.398
19-07-2008 13.17,2981.36,2480.48,2184.4333,877.6266,1.2197,100,99.8021,0.1257,1.5234,0.002357749392626684,-0.016,0.9542116879551369,197.2813,0,9.8545,427.0099,9.571993532949284,0.9688,189.5772050662584,12.5635,1.3825
19-07-2008 15.22,2979.33,2568.01,2184.4698,1399.5386,0.7884,100,98.3156,0.1217,1.5816,0.025,-0.0161,0.9489138618814034,201.1548,0,13.6872,424.1804,9.726821026978708,0.9611,185.48603191649548,12.3985,1.427
22-07-2008 2.59,3095.78,2556.31,2184.4333,1698.0172,0.7884,100,104.7807,0.1233,1.5008,0.025,-0.0179,0.9433,226.0086,0,7.9558,413.5173,9.434879467612094,0.9689,183.3869,12.44,1.3963
19-07-2008 12.32,3088.02,2428.37,2243.1611,1016.9891,1.5509,100,102.0288,0.1243,1.5816,-0.006520142335125224,0.0081,0.9447078919615485,196.1752,0,7.9558,428.4293,9.1999,0.9718,187.76084529942923,11.1795,1.4135
19-07-2008 15.22,2949.78,2478.05,2184.4333,877.6266,1.5509,100,97.0129,0.1185,1.5783,-0.014116183796465545,0.0031,0.9537885785671883,199.4988,0,13.6872,423.232,9.548692522180497,0.9703,191.54197420087903,12.329,1.3885
20-07-2008 3.35,3095.78,2608.34,2188.2658,877.6266,1.2864,100,95.4878,0.1201,1.561,-0.034494866422484935,0.011,0.954631909735741,196.6164,0,12.7023,428.9826,10.24806518976268,0.9622,190.36249862702914,12.4782,1.3825
19-07-2008 21.57,3004.26,2436.42,2184.4333,877.6266,1.0793,100,99.3921,0.1221,1.4714,0.023082461192026484,-0.015,0.9537909333006075,199.0081,0,8.2948,427.4083,10.396183296852902,0.969,183.3869,12.3728,1.4154
21-07-2008 11.53,2989.09,2428.37,2184.4333,877.6266,1.5509,100,105.9048,0.1185,1.4368,0.017725335774137714,0.0185,0.9596436923824591,203.7576,0,13.6872,408.8171,9.857196504490593,0.9656,193.3676593088257,12.2738,1.4182
19-07-2008 22.52,3003.18,2563.7,2194.2034,1643.8098,1.5256,100,95.4878,0.1246,1.4368,-0.005573215434035635,0.0062,0.9499415284739041,196.7782,0,12.9568,426.6231,9.899950939495103,0.9659,183.3869,12.5191,1.3876
19-07-2008 19.44,3095.78,2428.37,2184.4333,1698.0172,1.2618,100,104.719,0.125,1.5282,0.002877436988781663,0.0069,0.9544533884807144,205.6767,0,7.9558,428.9826,9.225243785631854,0.9637,183.3869,12.26,1.4128
21-07-2008 8.21,3071.15,2428.37,2188.6453,1269.1212,1.5127,100,95.4878,0.1239,1.5681,0.0010502259993149469,-0.0001,0.9469514864037382,206.4865,0,11.6607,425.0324,9.1999,0.9653,188.5651673178242,12.3637,1.4043
22-07-2008 2.59,3078.93,2428.37,2240.9083,1527.7456,1.1612,100,101.9802,0.1247,1.5816,-0.019329631816599756,0.001,0.9564078317015329,198.733,0,7.9558,428.9826,10.357084800600436,0.9655,199.9873519510949,12.4839,1.4093
22-07-2008 0.03,3095.78,2456.07,2184.4333,1143.4196,1.3783,100,99.0262,0.122,1.5224,-0.001167913191646188,0.009,0.9629642907549049,201.5779,0,9.0895,428.1141,9.1999,0.9728,183.3869,12.2525,1.4278
19-07-2008 21.35,3023.54,2521.36,2184.4333,975.83,1.3193,100,99.6344,0.1256,1.5816,0.025,0.0023,0.9563949778036028,226.0086,0,10.6936,415.0313,9.898465411586168,0.9668,183.3869,12.5635,1.4278
19-07-2008 14.43,3087.05,2462.86,2184.4333,877.6266,1.4997,100,95.4878,0.121,1.5605,-0.0367,-0.0063,0.9577961860213139,205.0717,0,12.9747,410.6754,9.696624770699707,0.9699,186.8341506479421,12.4424,1.4278
22-07-2008 11.47,2974.87,2428.37,2184.4333,901.1581,1.5509,100,98.1677,0.1257,1.5816,-0.02846913301374799,0.0099,0.9619330009817862,205.0293,0,11.0706,423.3672,9.1999,0.9698,183.38846619734394,12.3803,1.3862
19-07-2008 22.52,3006.66,2428.37,2270.2556,1064.441,1.5509,100,99.5645,0.1185,1.5591,0.025,-0.0078,0.9579033618502218,197.2655,0,7.9558,424.2611,9.420483691140229,0.9653,184.57160742964223,12.0502,1.4164
22-07-2008 14.00,3095.78,2428.37,2222.3846,1590.687,0.7884,100,102.6641,0.1185,1.5069,0.025,-0.0041,0.9567248537317266,192.9787,0,10.8019,421.7027,9.1999,0.9726,194.4039772551184,12.5137,1.4278
20-07-2008 3.35,3069.38,2466.55,2270.2556,963.1219,1.0183,100,102.8402,0.1257,1.552,0.025,-0.0165,0.9433,200.7107,0,11.2268,419.1812,9.466679393233637,0.9606,183.895289759383,12.5635,1.3969
22-07-2008 0.03,3095.78,2428.37,2184.4333,1002.3976,1.1978,100,98.3277,0.1257,1.5189,0.009570022437750673,-0.0111,0.9433,199.8635,0,7.9558,419.9148,9.1999,0.9648,183.5089988156066,12.5635,1.398
19-07-2008 15.22,3095.78,2428.37,2184.8436,1160.4173,1.4523,100,95.4878,0.1254,1.5816,-0.023303203645286385,-0.0137,0.9489392238067336,195.909,0,10.4928,409.936,9.1999,0.9648,184.41496993142346,12.2346,1.4278
19-07-2008 11.55,3029.89,2461.46,2252.7399,1278.2588,1.4553,100,100.4415,0.1185,1.5816,0.025,-0.0025,0.9433,203.8484,0,11.039,415.9025,9.1999,0.9686,183.8159318842677,12.199,1.4278
22-07-2008 0.03,3095.78,2496.98,2192.8,1378.7798,1.4543,100,104.3787,0.1185,1.5528,0.013449954673140977,0.0094,0.96113137290213,205.1625,0,7.9558,420.2577,9.341974867962396,0.971,184.8083378091717,12.3727,1.3923
19-07-2008 22.52,3031.51,2482.49,2270.2556,1133.4808,0.7884,100,100.2033,0.1209,1.5816,0.01562071419734482,0.0174,0.9433,195.3667,0,10.239,425.683,10.4109,0.964,183.70581811878822,12.5635,1.407
19-07-2008 17.53,2995.25,2428.37,2240.5429,877.6266,1.3516,100,102.5686,0.1245,1.5101,0.017329198240242722,0.0139,0.9611447266229735,220.6577,0,13.6872,417.8692,9.314822907932815,0.9677,187.67963811193601,12.5635,1.4278
19-07-2008 17.53,2995.46,2428.37,2187.0138,877.6266,1.0958,100,99.5671,0.1228,1.5454,0.0072990994757566935,0.0209,0.9484406008210254,202.1166,0,8.406,428.9826,9.71666761407349,0.9613,192.1107067389151,12.4454,1.3951
19-07-2008 19.44,3038.73,2506.87,2184.4333,877.6266,0.9848,100,106.6156,0.1257,1.5816,0.01160132285370222,-0.009,0.9531993393654846,204.1752,0,9.49,415.7159,9.1999,0.9676,186.36717157980723,12.5635,1.4278
19-07-2008 17.53,2999.84,2457.46,2208.0312,1465.4968,0.7884,100,97.8666,0.1257,1.5254,-0.0037126714764118916,-0.017,0.9568152385384395,221.8512,0,8.9641,412.9585,9.1999,0.9659,183.3869,12.5021,1.416
19-07-2008 15.22,3063.99,2467.99,2184.4333,1278.6977,1.3465,100,98.5637,0.1235,1.5436,0.013710358814976715,-0.0099,0.9681272475368343,212.0301,0,8.7761,409.8453,10.054702583793535,0.9653,183.3869,12.5635,1.4007
19-07-2008 21.35,3090.57,2538.64,2208.41,978.7241,1.2369,100,99.4353,0.1224,1.5043,-0.03373049473181569,-0.0,0.9640274416568206,196.9359,0,7.9558,418.2415,9.73811821881501,0.963,183.3869,12.415,1.384
19-07-2008 17.53,3046.78,2563.86,2220.9164,877.6266,1.4049,100,103.7756,0.1257,1.5816,0.025,-0.0161,0.9556392841695388,202.5966,0,13.6872,404.5667,9.364168339146792,0.9644,185.93280531241115,12.5635,1.4278
19-07-2008 15.22,3061.06,2428.37,2184.4333,1132.4988,0.9936,100,95.4878,0.1249,1.5816,-0.026762345137719384,0.0031,0.9433,215.9552,0,9.0426,418.3165,9.303447514672074,0.9676,202.3684669857037,12.5635,1.3825
21-07-2008 11.53,3071.0,2550.5,2255.6426,1630.8638,1.1993,100,95.4878,0.1217,1.5426,-0.014642636487196256,-0.011,0.9510589296370813,198.9045,0,9.4174,423.459,10.4109,0.961,185.3593853103538,12.5456,1.3928
19-07-2008 19.45,3080.16,2568.34,2233.074,877.6266,1.5509,100,103.9636,0.1241,1.4768,-0.01861770156635726,-0.0103,0.9690611113384184,198.8729,0,12.0581,412.1586,9.1999,0.9647,183.3869,12.3551,1.3908
21-07-2008 11.53,3009.6,2441.13,2254.608,882.341,1.5509,100,96.5421,0.1247,1.5534,0.006382168457979294,-0.0034,0.9433,203.2321,0,9.3648,428.9826,9.53912424882986,0.9667,186.23851270425564,12.3496,1.4156
19-07-2008 17.53,2954.13,2428.37,2184.4333,877.6266,1.0971,100,97.2624,0.1204,1.5217,-0.02884107598333342,-0.0015,0.9516408898908354,203.7855,0,11.2395,425.8783,9.514138262172363,0.9626,186.4830894148843,12.5635,1.4052
19-07-2008 20.24,3095.78,2436.6,2243.1644,877.6266,1.1897,100,107.1791,0.1215,1.5775,0.025,-0.0099,0.9433,203.6703,0,8.5558,419.4035,9.444575026024207,0.9683,183.3869,12.5635,1.3988
19-07-2008 20.24,3077.89,2598.02,2196.7268,1453.6581,1.4719,100,95.4878,0.1257,1.5471,0.025,0.0061,0.949859958310849,197.4088,0,9.6731,428.9826,9.1999,0.9637,187.1608857165827,12.4963,1.4278
19-07-2008 12.32,3039.33,2428.37,2184.4333,877.6266,1.5509,100,97.8614,0.1257,1.5381,-0.005107940276347592,-0.0037,0.944348047491181,198.8303,0,10.1514,418.6191,10.4109,0.9689,186.95677091573856,12.2363,1.4278
19-07-2008 11.55,2928.66,2428.37,2202.7185,1387.8545,1.5509,100,95.4878,0.1236,1.5729,0.025,-0.0121,0.9640711905062115,199.9693,0,13.3327,414.0781,10.216148948109154,0.9678,193.21807135180163,10.7029,1.3938
