Supplier_Name,Supplier_Code,Alloy,Current_LB,New_LB,change
SUPPLIER A67,S071,A345,1.22,1.89,-0.0
SUPPLIER A38,S090,A391,1.29,2.16,-0.02
SUPPLIER A34,S007,A408,1.48,1.87,0.01
SUPPLIER A60,S045,A369,1.7,1.47,0.01
ALOY MASTERS,S061,A404,1.38,2.03,-0.02
SUPPLIER A18,S013,A364,2.08,1.7,-0.02
SUPPLIER A10,S066,A390,1.3,1.71,-0.02
SUPPLIER A28,S058,A340,2.05,1.42,0.04
SUPPLIER A58,S076,A412,1.49,1.83,-0.0
SUPPLIER H,S038,A369,1.35,1.67,-0.01
SUPPLIER A49,S021,A373,1.36,1.48,-0.02
SUPPLIER A52,S024,A399,1.21,1.66,0.02
SUPPLIER A51,S057,A385,2.03,1.6,-0.03
TOP DIE CASTING,S011,A380,2.12,1.66,0.01
SUPPLIER A23,S083,A400,1.24,2.06,-0.02
SUPPLIER A30,S021,A400,1.34,1.69,-0.03
BLUE METAL,S021,B747,1.38,1.59,0.1
SUPPLIER A52,S057,A408,1.3,1.22,-0.01
SUPPLIER A29,S001,A394,1.3,1.38,-0.03
SUPPLIER A20,S085,A346,1.43,1.46,-0.03
SUPPLIER A61,S070,A399,1.46,1.57,-0.01
SUPPLIER A31,S087,A397,1.25,2.29,0.0
SUPPLIER A2,S074,A400,1.22,2.24,-0.03
SUPPLIER A50,S025,A364,2.15,1.66,0.0
SUPPLIER A31,S040,A393,1.53,1.48,-0.01
SUPPLIER AC,S046,A360,1.36,1.39,-0.01
ALOY MASTERS,S002,A412,2.08,1.5,-0.02
SUPPLIER A61,S053,A376,1.31,1.33,-0.03
SUPPLIER A67,S075,A400,1.21,1.76,0.02
SUPPLIER A6,S055,A402,1.23,1.71,0.0
SUPPLIER A68,S056,A403,1.52,2.26,0.0
SUPPLIER A12,S027,A394,1.21,1.69,-0.02
SUPPLIER A36,S069,A385,1.21,1.77,-0.01
SUPPLIER H,S022,A376,1.31,1.2,0.02
SUPPLIER A57,S087,A381,3.14,1.46,-0.03
SUPPLIER A59,S045,A405,1.21,1.47,-0.01
SUPPLIER A26,S057,A370,1.52,1.35,0.02
XPZ Supp,S080,A372,1.47,1.56,-0.01
SUPPLIER A66,S015,A371,1.21,1.68,0.0
XPZ Supp,S090,A400,1.23,2.09,0.02
SUPPLIER A51,S009,A348,1.95,1.99,0.01
SUPPLIER H,S070,A386,1.36,2.24,0.01
SUPPLIER A4,S074,A393,1.41,1.62,0.01
SUPPLIER A39,S088,A397,1.21,2.26,-0.03
STRONG ALLOY,S017,A395,1.54,1.65,-0.02
SUPPLIER A35,S080,A415,1.39,1.91,-0.03
BLUE METAL,S041,A407,1.21,1.61,0.0
SUPPLIER A12,S050,A392,1.21,1.62,-0.0
XYZ,S038,A414,1.28,1.67,0.02
SUPPLIER AC,S039,A345,1.26,1.66,-0.03
SUPPLIER A39,S052,A341,1.92,1.74,0.02
SUPPLIER E,S044,A345,1.38,2.01,0.02
SUPPLIER A34,S007,A364,1.44,1.58,0.01
SUPPLIER A70,S052,A388,1.29,1.56,-0.03
SUPPLIER A18,S013,A391,1.43,1.41,-0.02
SUPPLIER A37,S021,A330,1.6,1.68,-0.03
SUPPLIER A37,S045,A365,1.64,2.17,-0.0
SUPPLIER A35,S056,A400,1.21,1.52,-0.0
SUPPLIER B,S050,A365,1.7,1.54,-0.01
SUPPLIER F,S021,A372,1.34,1.68,0.2
SUPPLIER A64,S076,A343,1.21,1.74,0.05
SUPPLIER A27,S051,A364,1.34,1.75,0.03
SUPPLIER A18,S019,A415,1.21,1.32,0.02
SUPPLIER A55,S049,A360,2.0,1.53,-0.03
SUPPLIER A66,S026,A400,1.34,1.76,-0.01
SUPPLIER A70,S019,A412,1.21,1.64,0.01
SUPPLIER G,S041,A404,1.21,1.49,0.01
SUPPLIER A59,S020,A385,1.38,1.51,-0.03
SUPPLIER A66,S075,A394,1.24,1.47,0.03
XYZ,S056,A365,1.38,1.96,-0.02
SUPPLIER A44,S074,A343,1.28,1.62,-0.01
TOP DIE CASTING,S003,A373,1.49,1.32,0.01
SUPPLIER A38,S081,A410,1.23,1.66,-0.03
SUPPLIER A7,S063,A390,1.23,1.47,0.04
SUPPLIER A52,S071,A402,1.55,1.77,0.02
TOP DIE CASTING,S051,A371,1.22,1.52,-0.02
SUPPLIER B,S008,A345,1.21,1.25,0.05
SUPPLIER A5,S027,A370,1.38,1.57,-0.03
SUPPLIER A61,S015,A392,1.21,1.41,0.19
SUPPLIER A22,S028,A397,1.22,2.07,-0.02
SUPPLIER A54,S050,A101,1.54,1.29,-0.02
SUPPLIER A49,S001,A397,2.27,1.62,0.0
SUPPLIER A64,S066,A383,1.21,1.57,-0.0
SUPPLIER H,S078,A391,1.6,1.51,0.02
SUPPLIER A46,S046,A366,2.63,1.47,-0.0
SUPPLIER A37,S088,A407,1.42,1.51,-0.01
SUPPLIER A8,S056,A340,1.28,1.55,-0.0
SUPPLIER C,S093,A405,1.3,1.52,0.01
SUPPLIER A60,S052,A380,1.22,2.15,-0.0
SUPPLIER A17,S009,A330,1.36,1.9,-0.03
SUPPLIER A61,S087,A374,1.21,2.24,0.03
SUPPLIER A20,S030,A393,1.5,1.36,-0.02
SUPPLIER C,S054,A376,1.3,1.51,-0.01
SUPPLIER A37,S009,A320,1.21,1.89,0.12
SUPPLIER A65,S090,A373,1.36,1.64,-0.01
SUPPLIER A53,S086,A380,1.43,1.52,0.0
SUPPLIER AC,S090,A342,1.85,1.91,0.01
TOP DIE CASTING,S020,A400,1.24,1.86,-0.03
SUPPLIER A9,S020,A357,1.96,1.53,-0.02
SUPPLIER A35,S012,A372,1.32,1.5,-0.01
SUPPLIER A26,S009,A410,1.43,1.51,0.2
SUPPLIER A68,S049,A393,1.48,1.73,0.01
BLUE METAL,S030,A393,1.21,1.81,-0.02
SUPPLIER A54,S021,A362,1.38,1.72,0.01
SUPPLIER A70,S030,A366,1.41,1.47,0.02
SUPPLIER A1,S079,A362,1.22,1.63,0.0
SUPPLIER AC,S026,A367,2.19,1.29,-0.0
SUPPLIER A30,S024,A392,1.25,1.95,0.0
SUPPLIER A44,S073,B747,1.64,1.85,0.02
SUPPLIER A66,S040,A368,1.44,1.65,0.03
TOP DIE CASTING,S093,A380,1.21,1.68,0.05
SUPPLIER A15,S037,A409,2.22,1.57,0.04
SUPPLIER B,S021,A341,1.3,1.71,-0.03
SUPPLIER A43,S015,A375,1.27,1.57,-0.03
SUPPLIER A22,S038,A345,1.33,2.21,0.01
SUPPLIER A20,S042,A377,1.21,2.02,-0.0
SUPPLIER B,S020,A400,1.45,1.51,-0.03
SUPPLIER A22,S038,A400,1.48,1.37,-0.03
SUPPLIER A68,S072,A345,2.18,1.64,-0.0
ABC Supplier,S079,A345,1.21,1.98,-0.0
XYZ,S020,A367,1.37,1.45,0.0
XYZ,S026,A399,1.28,1.73,-0.01
SUPPLIER A18,S047,A399,1.94,1.54,-0.02
SUPPLIER AD,S046,A397,1.24,1.35,0.06
SUPPLIER A39,S006,A363,1.37,1.55,-0.03
SUPPLIER A21,S023,A330,1.21,1.49,0.0
SUPPLIER A73,S016,A362,1.21,1.57,0.04
SUPPLIER A56,S014,A369,1.31,1.77,0.0
SUPPLIER A30,S080,A383,1.39,1.69,0.03
SUPPLIER A63,S038,A405,1.37,2.25,-0.01
SUPPLIER D,S050,A393,1.31,2.09,-0.03
SUPPLIER A37,S085,A400,2.44,1.77,-0.03
SUPPLIER A34,S001,A380,1.33,2.06,0.0
SUPPLIER G,S055,A376,2.61,1.77,-0.02
SUPPLIER A12,S053,A342,1.43,1.45,-0.03
SUPPLIER B,S066,A364,1.34,1.31,-0.02
SUPPLIER A21,S071,A388,1.21,2.07,-0.02
XPZ Supp,S093,A345,1.23,1.51,-0.02
SUPPLIER A55,S075,A372,1.46,1.89,-0.02
SUPPLIER A67,S025,A359,1.25,1.2,-0.02
SUPPLIER A34,S016,A340,1.54,1.32,0.2
STRONG ALLOY,S085,A407,1.38,2.12,-0.01
ALOY MASTERS,S020,A409,2.2,1.4,0.03
SUPPLIER A58,S072,A400,1.21,1.33,0.02
SUPPLIER A24,S045,A390,1.21,1.38,-0.03
SUPPLIER A66,S074,A397,1.32,1.93,-0.02
SUPPLIER G,S016,A406,1.79,1.27,-0.01
SUPPLIER A28,S010,A349,1.78,2.34,-0.02
SUPPLIER A28,S092,A352,1.28,1.63,-0.03
SUPPLIER D,S068,A370,1.27,2.13,0.19
SUPPLIER G,S027,A408,1.5,2.01,-0.03
SUPPLIER A72,S057,A340,1.92,1.46,-0.02
BLUE METAL,S059,A394,1.6,1.43,0.04
SUPPLIER A48,S013,A380,1.69,1.41,0.11
SUPPLIER B,S084,A400,1.21,1.82,0.03
SUPPLIER A27,S029,A360,1.3,3.16,-0.03
SUPPLIER AC,S022,A351,1.21,1.68,-0.01
SUPPLIER A15,S007,A359,1.28,1.57,0.01
SUPPLIER A9,S053,A400,1.38,1.38,0.12
SUPPLIER A5,S064,A396,1.4,1.29,-0.02
SUPPLIER A52,S047,A362,1.74,1.92,-0.03
SUPPLIER A9,S027,A377,3.11,1.58,-0.03
SUPPLIER AC,S024,A379,1.91,2.1,-0.02
ALOY MASTERS,S088,A400,1.58,1.34,-0.03
SUPPLIER A20,S040,A351,2.44,2.03,-0.02
SUPPLIER A5,S085,A345,3.14,1.93,-0.02
SUPPLIER A33,S052,B747,1.22,1.57,-0.03
SUPPLIER A55,S043,A350,1.41,1.56,0.02
TOP DIE CASTING,S011,A101,1.34,1.44,0.03
SUPPLIER A36,S024,A359,1.31,1.45,-0.03
SUPPLIER H,S085,A348,1.31,1.51,0.04
SUPPLIER A60,S024,A385,1.29,1.65,-0.03
SUPPLIER A60,S024,A350,1.21,1.59,0.03
XPZ Supp,S020,A350,1.21,1.9,0.05
SUPPLIER A55,S038,A391,1.45,1.61,0.05
BLUE METAL,S026,A372,1.59,2.1,-0.02
SUPPLIER C,S073,A400,1.28,1.52,-0.01
SUPPLIER G,S075,A352,1.37,1.87,0.03
SUPPLIER A63,S019,A395,1.29,1.69,-0.0
SUPPLIER A48,S047,A320,1.33,1.57,-0.03
SUPPLIER A17,S081,A368,1.33,2.03,-0.01
SUPPLIER A1,S054,A400,1.5,3.16,0.02
SUPPLIER A17,S061,A404,1.31,2.03,-0.03
SUPPLIER AC,S053,A400,1.45,1.51,0.03
SUPPLIER A73,S055,A363,1.8,1.93,-0.03
SUPPLIER A3,S068,A346,1.52,1.64,-0.03
SUPPLIER AC,S019,A400,1.38,1.41,0.02
SUPPLIER A28,S041,A409,1.21,1.67,0.01
SUPPLIER A8,S015,A404,1.57,1.97,0.05
SUPPLIER A22,S071,A374,1.25,2.03,-0.02
XPZ Supp,S054,A377,1.25,1.45,0.03
SUPPLIER A32,S066,A343,1.51,1.57,-0.02
XPZ Supp,S029,A340,1.3,2.08,-0.01
SUPPLIER A66,S012,A320,1.21,1.53,-0.01
SUPPLIER A38,S055,A359,1.47,1.79,0.02
SUPPLIER A10,S040,A380,1.21,1.49,0.0
SUPPLIER A63,S042,A412,1.21,1.7,0.1
ALOY MASTERS,S014,A415,1.5,1.69,-0.01
SUPPLIER A18,S090,A340,2.33,2.04,0.03
TOP DIE CASTING,S076,A368,1.43,1.62,0.0
SUPPLIER A41,S015,A352,1.26,1.54,-0.03
SUPPLIER A29,S039,A402,1.4,1.23,0.16
SUPPLIER A30,S074,A367,1.31,1.33,-0.03
XYZ,S088,A378,1.56,1.91,-0.02
SUPPLIER A20,S043,A380,1.27,1.89,-0.02
TOP DIE CASTING,S069,A412,1.42,1.27,0.01
SUPPLIER A18,S042,A371,1.26,1.67,0.03
SUPPLIER A68,S010,A350,3.09,1.66,0.01
SUPPLIER B,S057,A348,1.21,1.41,-0.03
SUPPLIER A34,S076,A367,1.4,1.63,0.03
SUPPLIER A17,S052,A391,1.36,3.16,0.02
SUPPLIER A32,S073,A348,1.34,1.61,0.01
SUPPLIER A52,S048,A340,1.37,1.9,-0.03
SUPPLIER D,S041,B747,1.21,1.91,0.01
SUPPLIER A70,S083,A400,1.56,1.54,0.02
SUPPLIER A25,S024,A402,1.84,1.48,-0.01
SUPPLIER F,S076,A345,1.31,1.36,-0.02
SUPPLIER A50,S052,A320,1.31,1.57,0.04
SUPPLIER A65,S039,A401,1.39,1.64,-0.03
SUPPLIER A66,S024,A409,1.77,1.73,-0.03
SUPPLIER A55,S059,A360,1.21,1.5,0.0
TOP DIE CASTING,S002,A401,1.34,1.6,0.04
SUPPLIER C,S093,A361,1.21,1.62,0.0
ABC Supplier,S029,A340,1.39,1.24,0.05
SUPPLIER A15,S003,A320,1.95,1.4,-0.01
SUPPLIER A8,S006,A395,1.24,1.67,-0.0
SUPPLIER A28,S077,A348,1.25,1.85,0.01
SUPPLIER A28,S072,A320,2.32,2.26,0.01
SUPPLIER A7,S052,A410,1.41,2.13,-0.0
SUPPLIER A8,S011,A381,1.21,1.6,-0.0
SUPPLIER A43,S056,A371,1.44,1.9,-0.02
SUPPLIER A52,S076,A101,1.6,1.35,-0.01
SUPPLIER A24,S038,A394,1.32,1.64,0.01
SUPPLIER A58,S043,A101,1.34,1.6,0.0
SUPPLIER A46,S020,A365,1.84,1.25,0.0
SUPPLIER A61,S073,A397,1.62,1.73,0.01
SUPPLIER A35,S035,A400,2.41,1.53,-0.03
SUPPLIER A52,S020,A403,1.21,2.16,-0.02
SUPPLIER A41,S088,A364,1.46,1.57,-0.01
SUPPLIER A4,S078,A352,1.37,3.16,0.02
ALOY MASTERS,S030,A396,1.46,1.44,0.02
XYZ,S084,A368,1.5,2.35,-0.03
SUPPLIER A43,S038,A377,1.71,1.69,0.02
SUPPLIER A35,S046,A377,1.27,1.47,-0.01
SUPPLIER A2,S042,A370,1.65,1.74,-0.02
SUPPLIER A68,S012,A403,1.34,3.16,-0.0
SUPPLIER A34,S076,A372,1.21,1.68,-0.01
SUPPLIER A66,S020,A101,1.36,1.43,-0.01
SUPPLIER A8,S024,B747,1.92,1.36,-0.03
SUPPLIER A3,S078,A372,1.21,2.12,-0.03
SUPPLIER A1,S020,A403,3.14,1.54,0.02
SUPPLIER A32,S076,A351,1.77,1.63,-0.03
SUPPLIER G,S048,A330,1.33,1.22,0.02
SUPPLIER A67,S021,A101,1.21,1.81,-0.0
TOP DIE CASTING,S076,A359,1.25,1.99,-0.03
SUPPLIER A3,S047,A400,1.44,3.16,-0.03
SUPPLIER A3,S010,A400,1.51,1.68,0.06
SUPPLIER A63,S028,A370,1.56,1.32,-0.03
SUPPLIER A10,S003,A351,1.4,1.5,-0.03
SUPPLIER A44,S021,A343,1.79,2.25,-0.01
SUPPLIER A73,S083,A380,1.64,1.45,-0.01
SUPPLIER A8,S079,A392,2.85,1.66,0.0
SUPPLIER A68,S022,A363,1.31,1.34,0.03
SUPPLIER A31,S077,A393,1.62,1.62,-0.02
SUPPLIER A26,S075,A400,1.52,1.44,-0.01
SUPPLIER AC,S075,A340,1.21,2.31,-0.02
SUPPLIER A22,S054,A360,1.21,1.52,0.02
SUPPLIER A55,S019,A401,1.22,1.23,-0.02
SUPPLIER A35,S001,A392,1.63,1.42,0.02
SUPPLIER A65,S041,A320,1.47,1.41,-0.03
SUPPLIER A24,S022,A352,2.0,2.03,0.01
SUPPLIER A63,S037,A352,1.35,1.76,0.0
SUPPLIER A20,S011,A394,1.86,1.68,-0.03
SUPPLIER A49,S021,A330,1.45,1.78,0.03
SUPPLIER C,S027,A392,1.32,2.01,0.04
SUPPLIER A60,S086,A415,1.46,1.52,0.03
SUPPLIER A2,S064,A393,1.38,1.5,0.01
SUPPLIER A70,S001,A360,1.37,2.08,0.01
SUPPLIER A3,S073,A348,1.42,1.44,0.07
SUPPLIER AD,S084,A408,1.21,1.43,-0.03
SUPPLIER A10,S063,A347,1.24,2.05,0.01
SUPPLIER AB,S057,A402,1.38,1.74,0.03
SUPPLIER A43,S051,A359,1.22,1.55,0.2
SUPPLIER A2,S019,A357,1.21,1.6,-0.02
SUPPLIER D,S035,A388,1.48,1.86,-0.02
SUPPLIER A72,S072,A345,1.48,1.9,0.02
SUPPLIER E,S024,A347,1.21,1.53,-0.01
SUPPLIER A34,S021,A344,2.06,1.57,0.2
SUPPLIER F,S051,A415,1.21,2.1,0.04
SUPPLIER A31,S003,A380,1.3,1.98,-0.0
TOP DIE CASTING,S023,A369,1.22,1.72,-0.01
SUPPLIER H,S023,A396,1.26,1.92,-0.01
SUPPLIER A73,S032,A400,1.23,1.69,0.0
STRONG ALLOY,S080,A371,1.69,1.55,0.03
SUPPLIER AD,S008,A330,1.45,1.73,0.02
SUPPLIER A51,S068,A347,1.36,1.89,0.06
SUPPLIER A36,S021,A379,1.23,3.16,-0.03
SUPPLIER A64,S064,A320,3.14,1.55,0.03
SUPPLIER AA,S037,A350,1.21,1.49,-0.02
SUPPLIER A31,S077,A363,1.51,1.72,-0.03
SUPPLIER A68,S039,A398,1.7,1.75,-0.0
SUPPLIER D,S009,A363,1.21,1.58,-0.03
SUPPLIER A67,S059,A401,1.25,1.64,-0.03
SUPPLIER A35,S085,A368,2.74,1.48,-0.02
SUPPLIER A22,S092,A380,1.48,1.55,-0.0
SUPPLIER A55,S093,A409,1.58,1.98,0.01
SUPPLIER E,S058,A371,1.58,1.2,-0.03
SUPPLIER A48,S044,A376,2.13,1.36,-0.02
SUPPLIER A22,S071,A364,1.51,1.54,-0.0
SUPPLIER C,S007,A378,1.27,1.41,0.02
SUPPLIER F,S017,A359,1.21,1.76,-0.02
ABC Supplier,S055,A344,1.69,1.86,-0.01
SUPPLIER A55,S001,A400,1.42,3.16,-0.03
SUPPLIER A50,S001,A381,1.63,1.39,0.05
SUPPLIER A58,S090,A367,1.21,1.66,-0.02
SUPPLIER A48,S022,A345,1.3,1.27,-0.03
SUPPLIER A39,S047,A400,1.58,1.32,-0.03
SUPPLIER A52,S023,A352,1.4,1.81,0.01
ALOY MASTERS,S061,A398,2.15,2.12,0.04
SUPPLIER A33,S047,A403,1.52,1.84,0.05
SUPPLIER A52,S001,A400,1.33,1.62,0.02
TOP DIE CASTING,S087,A363,1.27,1.56,0.04
SUPPLIER A51,S024,A403,1.65,1.73,0.0
SUPPLIER A22,S077,A383,1.72,2.1,0.01
SUPPLIER A57,S001,A320,1.26,1.39,-0.02
SUPPLIER A44,S001,A406,1.57,2.75,0.01
SUPPLIER A68,S010,A403,1.33,3.16,-0.03
TOP DIE CASTING,S053,A395,1.35,1.32,-0.03
SUPPLIER A33,S069,A370,2.1,1.75,-0.03
SUPPLIER A60,S081,A359,1.28,1.63,-0.03
SUPPLIER A30,S084,A367,1.21,1.69,0.01
SUPPLIER A23,S052,A366,1.21,1.52,0.01
SUPPLIER A9,S069,A401,1.43,1.45,-0.03
SUPPLIER A66,S007,A342,1.31,1.46,-0.01
SUPPLIER E,S027,A376,1.4,2.27,-0.03
SUPPLIER A59,S017,A348,1.55,2.05,0.03
TOP DIE CASTING,S093,A372,1.76,1.5,-0.0
SUPPLIER A1,S084,A390,1.21,1.5,-0.03
SUPPLIER AC,S021,A385,1.62,1.49,-0.01
SUPPLIER A17,S061,A369,1.9,1.97,0.0
SUPPLIER A55,S093,A394,2.08,1.5,-0.01
SUPPLIER A23,S039,A398,1.58,3.16,-0.0
SUPPLIER A57,S081,A393,1.28,1.46,0.02
SUPPLIER A21,S079,A397,1.36,1.46,0.03
SUPPLIER A60,S047,A366,1.49,1.63,-0.01
SUPPLIER A64,S030,A377,1.41,1.67,0.01
SUPPLIER A72,S054,A406,1.52,1.54,-0.03
SUPPLIER A61,S048,A350,1.76,1.5,-0.02
SUPPLIER A24,S086,A403,1.41,1.4,0.0
SUPPLIER A51,S010,A396,1.39,1.26,0.05
SUPPLIER A24,S057,A400,1.68,3.16,0.0
SUPPLIER A41,S083,A412,1.21,1.39,0.01
SUPPLIER A51,S083,A372,1.21,1.67,0.02
SUPPLIER A54,S017,A378,1.5,1.95,-0.01
SUPPLIER A41,S043,A380,1.48,1.52,-0.01
SUPPLIER A32,S054,A404,1.21,1.64,0.05
TOP DIE CASTING,S025,A368,1.51,1.81,-0.02
SUPPLIER A20,S081,A408,1.37,1.46,0.01
SUPPLIER A31,S075,A410,1.41,1.59,-0.01
SUPPLIER A17,S038,A385,1.21,1.97,-0.02
SUPPLIER A12,S092,A351,1.32,1.63,0.0
SUPPLIER A59,S082,A345,1.25,1.99,-0.03
SUPPLIER A10,S093,A366,1.53,1.99,-0.01
SUPPLIER AA,S073,A372,1.39,2.06,0.19
SUPPLIER A25,S093,A380,1.52,1.99,0.2
SUPPLIER A49,S086,A365,1.46,1.43,-0.02
XYZ,S029,A345,1.46,1.61,-0.01
SUPPLIER A15,S070,A348,1.45,1.34,0.02
SUPPLIER A72,S008,A342,1.27,1.77,-0.0
SUPPLIER A54,S083,A403,1.21,1.66,-0.03
SUPPLIER A50,S059,A363,1.46,1.49,-0.02
SUPPLIER A27,S047,A380,1.21,1.45,0.0
SUPPLIER A63,S085,A403,1.26,1.64,0.0
SUPPLIER A37,S093,A400,1.21,1.6,-0.03
SUPPLIER A24,S023,A400,1.22,1.47,0.03
SUPPLIER A72,S076,A371,1.21,1.64,0.01
SUPPLIER AB,S016,A320,1.65,1.47,-0.03
SUPPLIER A38,S053,A364,1.58,2.03,0.0
SUPPLIER B,S053,A400,2.83,1.43,-0.02
SUPPLIER A31,S068,A403,1.36,1.38,-0.03
SUPPLIER A29,S087,A400,1.85,1.79,0.02
XPZ Supp,S035,A379,1.21,1.81,-0.0
SUPPLIER A4,S020,A405,1.58,1.51,-0.01
SUPPLIER A52,S006,A320,1.64,1.94,0.03
SUPPLIER A51,S051,A369,1.37,2.02,-0.03
SUPPLIER A19,S052,A364,2.28,2.07,0.0
SUPPLIER A3,S086,A354,1.77,1.54,-0.01
SUPPLIER A25,S044,A393,1.23,1.64,0.0
SUPPLIER A23,S071,A392,1.59,1.98,-0.01
SUPPLIER A63,S006,A370,3.14,1.67,-0.03
SUPPLIER A51,S043,A395,2.44,3.16,-0.02
SUPPLIER A61,S001,A343,1.34,1.26,-0.03
SUPPLIER A25,S088,A375,1.21,1.65,-0.03
SUPPLIER A38,S007,A415,1.21,1.69,-0.01
SUPPLIER AA,S024,A400,1.39,2.0,-0.03
XYZ,S064,A352,1.58,1.98,-0.02
SUPPLIER A28,S001,A350,1.44,1.94,-0.03
SUPPLIER F,S018,A397,2.17,2.08,0.01
SUPPLIER A4,S090,A374,1.24,1.51,-0.01
SUPPLIER A7,S077,A385,1.41,1.75,0.0
SUPPLIER A44,S056,A368,1.85,1.96,-0.02
SUPPLIER A54,S035,A363,1.3,1.52,0.01
SUPPLIER A52,S043,A101,1.21,2.27,-0.02
SUPPLIER A57,S021,A361,1.29,1.44,0.03
SUPPLIER A10,S052,A347,1.56,1.76,-0.01
SUPPLIER A27,S075,A372,1.8,1.6,-0.03
SUPPLIER A43,S056,A400,1.5,1.66,-0.03
SUPPLIER A31,S054,A397,1.21,1.39,-0.0
SUPPLIER A35,S046,A409,1.31,2.06,0.03
SUPPLIER A63,S015,A320,1.36,1.34,-0.03
TOP DIE CASTING,S023,A405,1.39,1.41,0.0
SUPPLIER A19,S084,A344,1.48,1.42,-0.03
SUPPLIER A25,S066,A354,1.21,1.86,0.04
STRONG ALLOY,S085,A340,1.26,1.61,-0.03
SUPPLIER A23,S066,A394,1.33,1.5,-0.01
SUPPLIER A24,S028,A378,1.26,1.53,0.2
SUPPLIER A57,S053,A407,1.64,1.65,0.02
SUPPLIER A72,S076,A360,1.37,1.63,-0.0
SUPPLIER E,S061,A390,1.22,1.41,0.19
SUPPLIER A65,S026,A348,1.3,2.05,-0.03
SUPPLIER A52,S022,A392,1.43,1.65,0.01
SUPPLIER A70,S024,A407,1.47,1.78,-0.02
SUPPLIER A66,S039,A378,1.37,1.51,-0.03
TOP DIE CASTING,S043,A364,1.48,1.65,-0.03
SUPPLIER A12,S055,A354,1.26,1.7,-0.02
SUPPLIER A54,S075,A409,1.34,1.66,0.02
BLUE METAL,S017,A379,1.51,1.57,0.02
SUPPLIER A21,S021,A340,1.22,1.61,-0.03
